,symbol,quantity,price,trade_type,timestamp,strike,expiry,option_type,implied_vol
0,SPY,-1.0,1.0350000000000001,option,2023-02-22,380.0,2023-03-08,put,0.16697370678841134
1,SPY,-6.725819503797048,398.5400085449219,stock,2023-02-22,,,,
2,SPY,-1.0,4.415,option,2023-02-22,383.0,2023-03-24,put,0.16697370678841134
3,SPY,-18.696683952200623,398.5400085449219,stock,2023-02-22,,,,
4,SPY,-1.0,6.785,option,2023-02-22,383.0,2023-04-21,put,0.16697370678841134
5,SPY,-24.87039300369385,398.5400085449219,stock,2023-02-22,,,,
6,SPY,-1.0,6.555,option,2023-02-22,391.0,2023-03-24,put,0.16697370678841134
7,SPY,-32.37349530640499,398.5400085449219,stock,2023-02-22,,,,
8,SPY,99.74161956315729,398.5400085449219,stock,2023-02-23,,,,
9,SPY,-121.09335799202532,400.6600036621094,stock,2023-02-24,,,,
10,SPY,132.9316216819253,396.3800048828125,stock,2023-02-27,,,,
11,SPY,-139.68057370971994,397.7300109863281,stock,2023-02-28,,,,
12,SPY,131.9934215769904,396.260009765625,stock,2023-03-01,,,,
13,SPY,-112.52620977521136,394.739990234375,stock,2023-03-02,,,,
14,SPY,141.42919834868647,397.80999755859375,stock,2023-03-03,,,,
15,SPY,-136.95662922568894,404.19000244140625,stock,2023-03-06,,,,
16,SPY,112.52559991876007,404.4700012207031,stock,2023-03-07,,,,
17,SPY,-108.02894097666585,398.2699890136719,stock,2023-03-08,,,,
18,SPY,-1.0,2.13,option,2023-03-08,385.0,2023-03-22,put,0.15969723662774893
19,SPY,-11.984264470888139,398.9200134277344,stock,2023-03-08,,,,
20,SPY,63.3215266028679,398.9200134277344,stock,2023-03-09,,,,
21,SPY,-122.69680137760045,391.55999755859375,stock,2023-03-10,,,,
22,SPY,114.20965406923361,385.9100036621094,stock,2023-03-13,,,,
23,SPY,-36.155728594515935,385.3599853515625,stock,2023-03-14,,,,
24,SPY,9.018699325737742,391.7300109863281,stock,2023-03-15,,,,
25,SPY,67.08279673017363,389.2799987792969,stock,2023-03-16,,,,
26,SPY,-129.57768547288228,396.1099853515625,stock,2023-03-17,,,,
27,SPY,191.7524907189548,389.989990234375,stock,2023-03-20,,,,
28,SPY,-151.6991987677544,393.739990234375,stock,2023-03-21,,,,
29,SPY,107.87344017145932,398.9100036621094,stock,2023-03-22,,,,
30,SPY,-1.0,2.525,option,2023-03-22,380.0,2023-04-05,put,0.1728152899177179
31,SPY,-16.690134474173135,392.1099853515625,stock,2023-03-22,,,,
32,SPY,-69.0302122159634,392.1099853515625,stock,2023-03-23,,,,
33,SPY,104.08996914706614,393.1700134277344,stock,2023-03-24,,,,
34,SPY,-1.0,1.585,option,2023-03-24,380.0,2023-04-06,put,0.17590292048280964
35,SPY,-10.358156771865357,395.75,stock,2023-03-24,,,,
36,SPY,-1.0,3.66,option,2023-03-24,380.0,2023-04-21,put,0.17590292048280964
37,SPY,-18.688801277034706,395.75,stock,2023-03-24,,,,
38,SPY,-62.31234483225539,395.75,stock,2023-03-27,,,,
39,SPY,60.49705796743314,396.489990234375,stock,2023-03-28,,,,
40,SPY,-35.80942956793792,395.6000061035156,stock,2023-03-29,,,,
41,SPY,42.80662190977617,401.3500061035156,stock,2023-03-30,,,,
42,SPY,-33.91851846800451,403.70001220703125,stock,2023-03-31,,,,
43,SPY,36.93950004735072,409.3900146484375,stock,2023-04-03,,,,
44,SPY,-38.00213905070144,410.95001220703125,stock,2023-04-04,,,,
45,SPY,37.765051554844405,408.6700134277344,stock,2023-04-05,,,,
46,SPY,-1.0,3.0,option,2023-04-05,391.0,2023-05-05,put,0.17048709627151445
47,SPY,-18.17411291118396,407.6000061035156,stock,2023-04-05,,,,
48,SPY,-14.300476397579807,407.6000061035156,stock,2023-04-06,,,,
49,SPY,15.217494550957166,409.19000244140625,stock,2023-04-07,,,,
50,SPY,1.0,0.295,option,2023-04-07,426.0,2023-04-21,call,0.16689602023648784
51,SPY,-11.665127592131125,409.19000244140625,stock,2023-04-07,,,,
52,SPY,1.5862112818536893,409.19000244140625,stock,2023-04-10,,,,
53,SPY,0.36461143196000734,409.6099853515625,stock,2023-04-11,,,,
54,SPY,1.2103967185492372,409.7200012207031,stock,2023-04-12,,,,
55,SPY,-0.9581043415681272,408.04998779296875,stock,2023-04-13,,,,
56,SPY,4.082495327000903,413.4700012207031,stock,2023-04-14,,,,
57,SPY,2.029206835033337,412.4599914550781,stock,2023-04-17,,,,
58,SPY,0.6177633671854275,413.94000244140625,stock,2023-04-18,,,,
59,SPY,2.0221601861380973,414.2099914550781,stock,2023-04-19,,,,
60,SPY,-1.966512420581938,414.1400146484375,stock,2023-04-20,,,,
61,SPY,2.7655561891481586,411.8800048828125,stock,2023-04-21,,,,
62,SPY,-1.0,1.045,option,2023-04-21,396.0,2023-05-05,put,0.14514897713929664
