date,historical_equity,GARCH_equity,XGB_equity
2020-02-14,499856.3079960811,499838.0366529141,499978.69637974666
2020-02-18,500148.9916470859,500170.21157031803,500043.866489908
2020-02-19,499682.38420883403,499540.69005780015,500055.1050951444
2020-02-20,500094.15461940505,500146.7853146035,500040.47307988803
2020-02-21,500956.43220742187,501573.09172690747,500128.7513196312
2020-02-24,496920.6836450274,501668.8452917567,490997.63537820254
2020-02-25,496000.3887257095,501726.4526971849,491967.88509079535
2020-02-26,492574.0846335098,499355.5083538146,483076.64919371926
2020-02-27,492042.3997989523,499677.8991215184,481350.2461686458
2020-02-28,493977.91917256755,500677.16580402246,484037.3116250071
2020-03-02,494650.71504073415,500408.80143278296,483085.07302005024
2020-03-03,494526.567899518,500911.84405838524,482968.8595855284
2020-03-04,495689.7024164083,500904.1251544605,482106.99373933056
2020-03-05,494684.77590143855,501532.0706456688,483089.1909334877
2020-03-06,498044.3648142974,503678.7719598322,487400.11137871793
2020-03-09,489929.5956649474,500869.20898904646,475211.51987865847
2020-03-10,485957.8341868163,498614.09679550154,469921.4548882907
2020-03-11,483374.8376945706,499067.30003541335,465752.71808738593
2020-03-12,475783.79401324276,492385.81852373213,456963.3693355731
2020-03-13,466771.13462466636,474949.6508349255,448606.9819087172
2020-03-16,454008.99599071755,484309.9667953446,430777.54735300376
2020-03-17,450493.72790005105,480801.86325133685,426639.97604850435
2020-03-18,457005.1174684712,481956.154675795,429732.7823660002
2020-03-19,454676.77853881416,485324.5822112962,433640.0578111553
2020-03-20,456780.40880751354,495804.83586965734,437166.10005435103
2020-03-23,458551.7831497677,500249.52237421623,442473.3444509553
2020-03-24,447792.3851033955,496236.54033330944,431045.4933169668
2020-03-25,451754.57432617695,491967.0030289127,439794.65225035587
2020-03-26,450699.0646872207,493321.91571830446,436767.40846098313
2020-03-27,453410.15248263476,486907.0987365836,440329.28739830793
2020-03-30,451974.1191456387,489329.12907662685,443023.0911079806
2020-03-31,445870.6943408695,490977.8933440363,445584.4130557067
2020-04-01,451031.6761326799,485540.41824742605,442753.18089645944
2020-04-02,449015.38011975016,489883.0769902158,442524.6408940952
2020-04-03,445656.82215781603,493450.6831108306,446744.0222192279
2020-04-06,446656.04481851065,491807.3623655802,444024.7570009355
2020-04-07,447358.714489824,490367.4338059805,444366.7606576609
2020-04-08,449528.26612028794,491740.3702632326,446583.8209141633
2020-04-09,450675.9649763575,493017.78439278016,449235.04156663554
2020-04-13,449531.98662030406,492456.23208147334,451999.05620135064
2020-04-14,449516.9015696032,496312.91777515865,451798.78384244035
2020-04-15,448716.05682835204,492347.31649212324,451921.0463599039
2020-04-16,448834.53576206625,492736.73226800526,452526.04693415225
2020-04-17,450883.3789221328,495254.4825959977,453491.7216653891
2020-04-20,450465.50366302836,490451.3545178676,453226.12305223424
2020-04-21,452083.6116053708,487616.20287354535,452115.51208304544
2020-04-22,450404.16907867085,490450.1522549344,452157.0530073788
2020-04-23,448961.0970920966,490542.31916229834,452935.2059682595
2020-04-24,448203.65171892144,495040.0418845384,453733.3036163095
2020-04-27,445889.60447715194,498279.8573707504,451862.81984033645
2020-04-28,447004.93198184326,498727.23580787075,452219.05581067497
2020-04-29,443301.9482116953,501071.0322742945,451468.48841780215
2020-04-30,445144.6241804353,498851.31308299664,451765.38081276766
2020-05-01,452739.5287400639,495548.8162052046,452633.83929158933
2020-05-04,451374.8518478222,497355.031797543,453888.6177094372
2020-05-05,450265.2311862513,499541.61342998466,454658.48572611675
2020-05-06,450449.02982935053,499082.6923736082,455024.9802369914
2020-05-07,448278.4794237071,501594.71434689395,455598.37332921394
2020-05-08,444335.4604920159,503852.399866555,456128.7841633371
2020-05-11,442735.11951965897,504990.663093188,456099.3305381521
2020-05-12,446324.61931943905,500918.8383209071,455675.1570808684
2020-05-13,447642.62915448204,499228.4603676347,455939.8901789284
2020-05-14,446564.37765688304,501411.85802167986,456237.16217652016
2020-05-15,445844.4819297461,501562.4458676039,456935.1482925777
2020-05-18,442753.0277507795,504587.7355705983,456866.3717470361
2020-05-19,443907.4518368589,503933.53113919444,457175.02507210284
2020-05-20,441596.16888452676,505679.43714460725,457725.5652262151
2020-05-21,442558.6442163817,504817.76368436334,457712.75284311915
2020-05-22,442034.2699344811,505811.5716681724,458399.7857167673
2020-05-26,438498.2991961958,506884.37786046544,459258.93630159507
2020-05-27,437129.48394530406,507305.30552919663,459143.67729265767
2020-05-28,437212.8219672878,507046.414883406,458978.92805151874
2020-05-29,436476.0272181935,507757.96718065295,459361.54660636163
2020-06-01,435095.21317065676,507820.26431208313,457919.0121332773
2020-06-02,433998.1757356832,508502.27437230817,458168.2483049094
2020-06-03,432567.65407210845,509164.4327945816,458469.360656
2020-06-04,432225.48128345597,509235.24503629346,458613.5701587084
2020-06-05,431755.6542046415,509845.8292564871,459624.570829858
2020-06-08,432203.64427199896,509918.11886384914,459610.5552265246
2020-06-09,432842.0628175078,509548.98014298186,458442.677489765
2020-06-10,432405.2402842372,509515.5852009292,458589.10321498
2020-06-11,440868.10140245827,503853.17269374104,449513.1506349484
2020-06-12,440725.7797367416,506037.12024669664,450342.32481836015
2020-06-15,439991.8484927241,507420.63806638686,451880.9435819961
2020-06-16,439648.12521734886,508035.2867914805,451929.41456006945
2020-06-17,439937.9396713136,508106.8254763484,451931.0867261057
2020-06-18,439907.6650829219,508321.5810149678,451676.49263728026
2020-06-19,440244.8923388683,507680.24554092006,450579.07792425726
2020-06-22,440082.92879945214,509470.9967981179,453904.70647150313
2020-06-23,439968.81739469164,509535.6848093784,453614.1139453436
2020-06-24,440447.2743998646,509010.38306160993,453335.79069271625
2020-06-25,440233.3464743465,509416.34347264114,454003.4305556457
2020-06-26,441139.7721077892,508774.02745126304,453004.52911092085
2020-06-29,440840.4096160594,509749.923892569,454572.96177670103
2020-06-30,440762.4614401187,510187.44000159955,455418.9512807138
2020-07-01,440915.7040948449,510471.5797729256,455943.86089114595
2020-07-02,441200.8964228935,510751.2192109947,456493.3096968332
2020-07-06,439390.58272892167,510474.88158155745,455592.9120243903
2020-07-07,440737.13704730093,510422.28615453996,454785.0622168242
2020-07-08,439676.105807781,510511.98964548355,455576.7773694087
2020-07-09,440441.7390844175,510384.62887355627,455022.37129241694
2020-07-10,439195.40665622335,510725.846214191,456287.0882761699
2020-07-13,440104.947412516,510340.7485867969,454721.2365566918
2020-07-14,439903.38599723624,510681.37970725255,456202.18678064254
2020-07-15,439691.5752491382,510969.24444391544,457428.34164433443
2020-07-16,439919.10241670476,510929.1836690326,457294.93804468284
2020-07-17,440025.0550421488,511589.40447094286,458700.88368090335
2020-07-20,438534.0254308211,511998.16852438514,459637.5964923767
2020-07-21,438168.6004420743,512057.2710313006,459647.2130941934
2020-07-22,436999.94147012196,512323.80900394847,460121.4597577837
2020-07-23,439498.1020343463,512055.93754672917,459437.18608321523
2020-07-24,440309.21928838955,512678.5323734762,459814.9547728086
2020-07-27,439508.460478102,512999.90441777965,460737.08936332143
2020-07-28,439696.3101682792,512970.23656856874,460642.31972564675
2020-07-29,439340.1419247848,513342.666399456,461340.96111871843
2020-07-30,439441.672375062,513382.575632433,461335.85192952555
2020-07-31,439610.8210879923,513941.5445849982,461876.20807754435
2020-08-03,439552.19347315416,514182.9986375678,462344.0855532057
2020-08-04,439604.9669000966,514242.7437107647,462542.3108690892
2020-08-05,439771.4780964805,514487.84787760914,462898.6647563334
2020-08-06,439727.96338054154,514505.3320682369,462999.9697544236
2020-08-07,440165.30258512596,514919.50749372895,463334.99398874707
2020-08-10,440212.47948338225,515102.48667670274,463505.4638605123
2020-08-11,440134.2247442034,514855.3943225657,463215.03259491926
2020-08-12,440246.9478501609,515110.31691330776,463614.1440226313
2020-08-13,440257.9858928606,515122.5676750508,463651.855435584
2020-08-14,440838.87814166583,515684.49908890214,464026.29132074333
2020-08-17,440845.12249171047,515824.7782840042,464194.39888273086
2020-08-18,440854.6995610086,515833.3319345468,464213.754934103
2020-08-19,441031.20242762717,515968.00182850705,464276.2863558153
2020-08-20,441015.8637715861,515958.81431692286,464270.76511939976
2020-08-21,441297.1698419794,516430.49384769186,464646.23299866205
2020-08-24,441038.3676387787,516450.57477565535,464629.64223783324
2020-08-25,440972.270604319,516448.97537070373,464658.1179293445
2020-08-26,441348.5688216958,516668.68907827535,464899.7168307452
2020-08-27,441227.7569890292,516652.97829043196,464788.17194854916
2020-08-28,441622.58898818924,517086.8824585192,465031.7794802485
2020-08-31,441593.35267208354,517044.42385811196,464849.43648806727
2020-09-01,441742.78658559127,517136.34008293174,464976.826141024
2020-09-02,441931.6686382642,517337.49062581424,465163.534041469
2020-09-03,439004.22970551223,514258.8007100948,462790.84310329077
2020-09-04,440461.7349459899,515706.22784017224,464147.88290287147
2020-09-08,440618.70021818904,515797.95788938843,464202.69676492456
2020-09-09,440601.031031835,516850.4642819415,465418.35792977724
2020-09-10,440452.74129339744,516865.1475017864,465325.5343963719
2020-09-11,441657.6490663144,517750.4093904926,466177.396265439
2020-09-14,442347.86858908326,516244.93455388,464829.11183802586
2020-09-15,442531.70195299276,515702.4970467646,464373.4905582606
2020-09-16,442918.5477084838,516036.7755432419,464661.48316203064
2020-09-17,442979.5541802923,516729.4637779175,465262.3442669533
2020-09-18,443690.62558881054,517391.8229810749,465917.99773085234
2020-09-21,443653.0139915844,517082.0159811105,465280.7629574685
2020-09-22,443607.8008181453,516620.1619977185,464034.816803336
2020-09-23,443945.7883063079,516729.6402345585,465538.98329098785
2020-09-24,444292.8016552841,516942.19922621176,465585.6648526909
2020-09-25,444453.64663810283,516784.6511433163,464957.16517502954
2020-09-28,443437.0059577976,515660.9183246617,463191.24527037935
2020-09-29,443614.47190776793,516441.627995188,463767.2387423868
2020-09-30,443396.5903150202,514951.96130781295,462800.35649116605
2020-10-01,443213.74009133736,514744.9121342277,462924.79082905944
2020-10-02,444022.4425166701,515205.3326500008,462714.53368782863
2020-10-05,442220.6081813763,514714.89539960574,463194.84049879544
2020-10-06,443091.8616524242,515163.10439710505,463452.0530851305
2020-10-07,442272.5988002046,515444.3713276782,463908.0248007245
2020-10-08,441440.47926537634,515847.5227893485,464449.01053466345
2020-10-09,440744.0983250071,516080.67541436176,464837.2670625056
2020-10-12,439012.67650811863,515318.38275176764,464061.48183440644
2020-10-13,439768.87484886963,515408.16348521865,464072.218117144
2020-10-14,440133.8631020666,515270.2748360245,463896.68738464784
2020-10-15,440187.5964303453,515113.51027391455,463751.1515634786
2020-10-16,440110.25654399,514792.3075305972,463477.97976487956
2020-10-19,441148.64258762513,514446.3820226976,463237.2794140051
2020-10-20,441122.632931077,514563.49650459806,463315.37249185145
2020-10-21,441034.76619686163,515374.58488282724,464028.7866425944
2020-10-22,441275.9363804789,515519.67675633205,464098.26468767226
2020-10-23,441553.4586033847,515730.4898293052,464295.09042505815
2020-10-26,440313.1597917582,514115.9136353467,461894.7364659463
2020-10-27,440287.9712813422,513843.66171230236,461693.5197351253
2020-10-28,435787.6515614936,508102.235233646,456381.5559356166
2020-10-29,436047.43915812514,509091.8697398015,457094.3265144475
2020-10-30,438071.1012673716,509925.62061718246,458770.13152059505
2020-11-02,438107.3075191574,509526.6038806037,457881.5972636199
2020-11-03,437774.6514242174,510154.45848720765,458389.6187217933
2020-11-04,441868.4595645545,513440.2633735619,461151.63023980526
2020-11-05,441941.9532035375,513979.86509104766,461722.32774243614
2020-11-06,443323.608578879,515567.5781738937,463234.9756123743
2020-11-09,442658.8836258013,515524.2614519942,463685.1431687047
2020-11-10,442428.45470600575,515726.47212347627,464095.50827272097
2020-11-11,442056.4989004537,515855.6760583805,464773.3662299671
2020-11-12,443009.36045612005,515950.7824940439,464182.2678366771
2020-11-13,442566.1755232927,516263.6786281368,465080.36104048794
2020-11-16,440345.077642415,515799.14520879585,465664.0913794641
2020-11-17,440813.39501957525,515893.63258504804,465675.3875081154
2020-11-18,441497.8703074098,515678.7538375491,465542.25450748706
2020-11-19,441328.60552452196,515940.9140453703,465806.221258954
2020-11-20,441867.3883577796,516010.04984207446,465986.43306862126
2020-11-23,441059.8342845851,516268.1902372141,466425.20744946157
2020-11-24,439807.2311873728,516480.7392218951,466717.6017624462
