date,event,position_key,exit_price,quantity
2020-03-12,early_exit,SPY_284P_20200619,47.605000000000004,2
2020-03-16,early_exit,SPY_283P_20200619,52.9,2
2020-03-16,early_exit,SPY_283P_20200630,53.545,2
2020-03-16,early_exit,SPY_284P_20200630,54.175,1
2020-03-20,early_exit,SPY_261P_20200630,40.825,2
2020-03-20,early_exit,SPY_262P_20200630,41.485,2
2020-03-20,early_exit,SPY_261P_20200619,40.3,2
2020-08-26,early_exit,SPY_351C_20200831,1.23,-2
2020-10-30,early_exit,SPY_330P_20201106,8.725000000000001,1
2020-10-30,early_exit,SPY_329P_20201106,8.254999999999999,1
2021-10-25,early_exit,SPY_454C_20211029,2.835,-2
2021-10-28,early_exit,SPY_455C_20211101,3.575,-2
2022-01-21,early_exit,SPY_468C_20220202,0.22,-2
2022-01-21,early_exit,SPY_469C_20220204,0.26,-1
2022-01-24,early_exit,SPY_469C_20220207,0.535,-2
2022-02-07,early_exit,SPY_427P_20220211,0.235,2
2022-02-07,early_exit,SPY_428P_20220211,0.28,2
2022-02-07,early_exit,SPY_429P_20220211,0.325,2
2022-03-11,early_exit,SPY_411P_20220318,3.815,2
2022-04-27,early_exit,SPY_436C_20220502,0.32,-2
2022-04-27,early_exit,SPY_435C_20220502,0.4,-2
2022-04-27,early_exit,SPY_434C_20220502,0.5,-1
2022-05-03,early_exit,SPY_400P_20220617,9.335,2
2022-05-03,early_exit,SPY_400P_20220630,10.91,2
2022-05-03,early_exit,SPY_401P_20220617,9.615,2
2022-05-03,early_exit,SPY_401P_20220630,11.2,2
2022-05-03,early_exit,SPY_400P_20220520,4.545,2
2022-05-03,early_exit,SPY_402P_20220617,9.9,2
2022-05-19,early_exit,SPY_384P_20220715,13.875,2
2022-05-19,early_exit,SPY_390P_20220819,20.2,2
2022-05-19,early_exit,SPY_385P_20220715,14.265,2
2022-05-20,early_exit,SPY_380P_20220715,12.440000000000001,2
2022-05-20,early_exit,SPY_385P_20220819,18.195,2
2022-05-20,early_exit,SPY_382P_20220715,13.16,2
2022-05-27,early_exit,SPY_414C_20220601,4.625,-1
2022-05-27,early_exit,SPY_416C_20220606,5.4399999999999995,-1
2022-05-27,early_exit,SPY_412C_20220531,5.185,-1
2022-05-27,early_exit,SPY_416C_20220603,4.76,-1
2022-05-27,early_exit,SPY_413C_20220601,5.27,-1
2022-05-27,early_exit,SPY_415C_20220606,5.994999999999999,-1
2022-05-27,early_exit,SPY_415C_20220603,5.32,-1
2022-05-27,early_exit,SPY_414C_20220606,6.575,-1
2022-06-13,early_exit,SPY_392P_20220617,19.275,3
2022-06-13,early_exit,SPY_391P_20220617,18.545,2
2022-06-14,early_exit,SPY_380P_20220819,21.285,2
2022-09-12,early_exit,SPY_423C_20220919,0.905,-1
2022-09-12,early_exit,SPY_422C_20220919,1.0750000000000002,-1
2022-10-07,early_exit,SPY_340P_20221012,0.175,1
2022-10-07,early_exit,SPY_340P_20221017,0.88,1
2022-10-11,early_exit,SPY_340P_20221026,2.99,1
2022-10-19,early_exit,SPY_340P_20221028,0.375,1
2022-12-19,early_exit,SPY_365P_20221223,0.28,1
2022-12-19,early_exit,SPY_366P_20221223,0.33,1
2023-03-13,early_exit,SPY_411C_20230321,0.11499999999999999,-1
2023-03-13,early_exit,SPY_410C_20230321,0.135,-1
2023-03-13,early_exit,SPY_409C_20230321,0.165,-1
2023-03-24,early_exit,SPY_374P_20230329,0.11499999999999999,1
2023-03-24,early_exit,SPY_374P_20230330,0.2,1
2023-08-03,early_exit,SPY_436P_20230808,0.14500000000000002,1
2023-09-15,early_exit,SPY_428P_20230921,0.10500000000000001,1
2023-09-15,early_exit,SPY_429P_20230921,0.11499999999999999,1
2023-10-27,early_exit,SPY_397P_20231031,0.155,1
2024-08-07,early_exit,SPY_507P_20240816,4.380000000000001,1
2024-08-20,early_exit,SPY_528P_20240826,0.10500000000000001,-1
2024-11-26,early_exit,SPY_597C_20241220,10.36,-1
2024-12-02,early_exit,SPY_594C_20241231,14.545,-1
2024-12-02,early_exit,SPY_593C_20241231,15.375,-1
2024-12-02,early_exit,SPY_605C_20241206,2.5949999999999998,-1
2024-12-03,early_exit,SPY_595C_20241231,13.64,-1
2024-12-04,early_exit,SPY_597C_20241231,14.17,-1
2024-12-04,early_exit,SPY_596C_20241231,15.015,-1
2024-12-04,early_exit,SPY_597C_20250117,17.665,-1
2024-12-04,early_exit,SPY_596C_20250117,18.465,-1
2024-12-04,early_exit,SPY_597C_20250131,20.240000000000002,-1
2025-03-12,early_exit,SPY_548P_20250321,5.130000000000001,1
2025-03-12,early_exit,SPY_549P_20250321,5.4399999999999995,1
2025-03-12,early_exit,SPY_550P_20250321,5.77,1
2025-03-28,early_exit,SPY_539P_20250401,0.495,1
2025-04-24,early_exit,SPY_539C_20250428,10.94,-1
