date,event,position_key,exit_price,quantity
2020-02-25,early_exit,SPY_317P_20200304,7.575,1
2020-03-05,early_exit,SPY_315C_20200323,2.6950000000000003,-2
2020-03-05,early_exit,SPY_315C_20200330,3.46,-2
2020-03-05,early_exit,SPY_315C_20200331,3.63,-2
2020-03-09,early_exit,SPY_284P_20200313,13.04,2
2020-03-16,early_exit,SPY_256P_20200320,20.365000000000002,2
2020-03-16,early_exit,SPY_257P_20200320,20.994999999999997,2
2020-03-16,early_exit,SPY_258P_20200320,21.58,2
2020-03-16,early_exit,SPY_259P_20200320,22.18,1
2020-04-24,early_exit,SPY_272P_20200501,1.5350000000000001,2
2020-04-24,early_exit,SPY_273P_20200501,1.625,2
2020-04-29,early_exit,SPY_297C_20200504,1.885,-2
2020-04-29,early_exit,SPY_296C_20200504,2.3099999999999996,-2
2020-06-01,early_exit,SPY_314C_20200608,0.65,-2
2020-06-01,early_exit,SPY_313C_20200608,0.845,-1
2020-06-03,early_exit,SPY_318C_20200608,0.67,-2
2020-06-03,early_exit,SPY_320C_20200622,1.915,-2
2020-06-03,early_exit,SPY_320C_20200629,2.605,-2
2020-06-03,early_exit,SPY_320C_20200624,2.1500000000000004,-2
2020-06-03,early_exit,SPY_320C_20200615,1.255,-1
2020-06-03,early_exit,SPY_323C_20200622,1.19,-2
2020-06-03,early_exit,SPY_323C_20200624,1.38,-1
2020-06-15,early_exit,SPY_319C_20200622,0.865,-2
2020-09-23,early_exit,SPY_343C_20201012,0.54,-2
2020-09-23,early_exit,SPY_343C_20201014,0.675,-2
2020-09-23,early_exit,SPY_343C_20201019,0.965,-1
2020-10-30,early_exit,SPY_329P_20201106,8.254999999999999,2
2020-10-30,early_exit,SPY_330P_20201104,7.695,2
2020-10-30,early_exit,SPY_330P_20201106,8.725000000000001,2
2020-10-30,early_exit,SPY_331P_20201106,9.195,2
2021-02-16,early_exit,SPY_410C_20210301,0.10500000000000001,-2
2021-02-16,early_exit,SPY_409C_20210301,0.125,-1
