date,event,position_key,exit_price,quantity
2020-03-16,early_exit,SPY_256P_20200320,20.365000000000002,2
2020-03-16,early_exit,SPY_257P_20200320,20.994999999999997,2
2020-03-16,early_exit,SPY_258P_20200320,21.58,2
2020-04-14,early_exit,SPY_234C_20200717,55.495000000000005,-2
2020-04-14,early_exit,SPY_233C_20200717,56.355000000000004,-2
2020-04-17,early_exit,SPY_240C_20200630,51.95,-2
2020-04-17,early_exit,SPY_238C_20200717,54.625,-2
2020-04-22,early_exit,SPY_239C_20200717,47.665000000000006,-2
2020-04-24,early_exit,SPY_240C_20200717,49.055,-2
2020-04-27,early_exit,SPY_252C_20200717,41.370000000000005,-2
2020-04-27,early_exit,SPY_251C_20200717,42.175,-2
2020-04-27,early_exit,SPY_250C_20200717,43.025,-2
2020-04-28,early_exit,SPY_265C_20200630,29.3,-2
2020-04-28,early_exit,SPY_264C_20200630,30.095,-2
2020-04-28,early_exit,SPY_263C_20200630,30.895000000000003,-2
2020-04-28,early_exit,SPY_262C_20200630,31.695,-2
2020-04-28,early_exit,SPY_265C_20200619,28.490000000000002,-2
2020-04-28,early_exit,SPY_261C_20200630,32.504999999999995,-2
2020-06-09,early_exit,SPY_326C_20200615,1.55,-2
2020-06-09,early_exit,SPY_327C_20200617,1.83,-1
2020-06-11,early_exit,SPY_339C_20200706,0.20500000000000002,-2
2020-08-27,early_exit,SPY_351C_20200831,0.955,-2
2020-11-09,early_exit,SPY_366C_20201113,0.485,-2
2021-01-26,early_exit,SPY_395C_20210201,0.125,-2
2021-01-26,early_exit,SPY_393C_20210201,0.245,-1
2022-03-18,early_exit,SPY_437C_20220328,10.774999999999999,-2
2022-05-09,early_exit,SPY_431C_20220516,0.20500000000000002,-2
2022-05-09,early_exit,SPY_430C_20220516,0.235,-1
2022-08-01,early_exit,SPY_415C_20220805,1.91,-2
2022-09-02,early_exit,SPY_386P_20220916,5.035,1
2022-09-30,early_exit,SPY_350P_20221005,1.6150000000000002,1
2022-09-30,early_exit,SPY_350P_20221007,2.5700000000000003,1
2022-10-25,early_exit,SPY_360P_20221031,0.255,-1
2022-10-25,early_exit,SPY_361P_20221031,0.28500000000000003,-1
2022-10-25,early_exit,SPY_362P_20221031,0.325,-1
2022-10-25,early_exit,SPY_363P_20221031,0.365,-1
2022-11-30,early_exit,SPY_405C_20221205,5.225,-1
2022-11-30,early_exit,SPY_404C_20221205,5.93,-1
2023-06-21,early_exit,SPY_419P_20230630,0.20500000000000002,1
2023-09-15,early_exit,SPY_429P_20230921,0.11499999999999999,1
2023-09-22,early_exit,SPY_422P_20230926,0.365,1
2023-09-22,early_exit,SPY_422P_20230927,0.645,1
2023-09-22,early_exit,SPY_421P_20230926,0.305,1
2023-10-26,early_exit,SPY_403P_20231030,0.275,1
2024-06-24,early_exit,SPY_552C_20240628,0.195,-1
2024-07-31,early_exit,SPY_560C_20240812,2.235,-1
2024-11-15,early_exit,SPY_568P_20241119,0.11499999999999999,1
2024-12-27,early_exit,SPY_577P_20241231,0.125,1
2025-05-16,early_exit,SPY_550C_20250630,48.599999999999994,-1
2025-05-19,early_exit,SPY_550C_20250731,53.265,-1
2025-05-19,early_exit,SPY_550C_20250718,51.465,-1
2025-07-31,early_exit,SPY_637P_20250804,6.205,-1
