date,equity,cash,num_positions
2020-02-14,499838.0366529141,648275.8576878904,11
2020-02-18,500170.21157031803,627087.3685399175,16
2020-02-19,499540.69005780015,659503.0849765784,19
2020-02-20,500146.7853146035,639911.910519508,21
2020-02-21,501573.09172690747,594098.2007159796,20
2020-02-24,501668.8452917567,618846.6613045272,21
2020-02-25,501726.4526971849,834553.489567474,21
2020-02-26,499355.5083538146,740864.4967691308,20
2020-02-27,499677.8991215184,730599.5425887959,20
2020-02-28,500677.16580402246,515982.95980970544,18
2020-03-02,500408.80143278296,530571.1958369045,18
2020-03-03,500911.84405838524,549659.9618238761,20
2020-03-04,500904.1251544605,540433.5704615314,16
2020-03-05,501532.0706456688,561611.3837732259,19
2020-03-06,503678.7719598322,583446.3873509913,18
2020-03-09,500869.20898904646,647976.7943888155,19
2020-03-10,498614.09679550154,599199.9765242096,20
2020-03-11,499067.30003541335,696804.6357202952,18
2020-03-12,492385.81852373213,738803.6862813005,17
2020-03-13,474949.6508349255,668159.8696536529,15
2020-03-16,484309.9667953446,718501.2734387186,17
2020-03-17,480801.86325133685,703215.9065251827,19
2020-03-18,481956.154675795,753377.4877006639,17
2020-03-19,485324.5822112962,782970.1235854324,18
2020-03-20,495804.83586965734,732167.5962315773,17
2020-03-23,500249.52237421623,729173.0120479602,12
2020-03-24,496236.54033330944,686265.9853424813,15
2020-03-25,491967.0030289127,667319.2668569385,14
2020-03-26,493321.91571830446,681652.8644021614,18
2020-03-27,486907.0987365836,746172.1412830934,20
2020-03-30,489329.12907662685,699082.4617561776,19
2020-03-31,490977.8933440363,720485.7363647582,20
2020-04-01,485540.41824742605,797293.5158210944,20
2020-04-02,489883.0769902158,772584.8407682216,21
2020-04-03,493450.6831108306,782076.4828195137,21
2020-04-06,491807.3623655802,676663.3129878255,19
2020-04-07,490367.4338059805,686988.1458680049,19
2020-04-08,491740.3702632326,688986.1252803925,20
2020-04-09,493017.78439278016,698098.7097501308,21
2020-04-13,492456.23208147334,632024.9957738875,19
2020-04-14,496312.91777515865,610240.0340236321,20
2020-04-15,492347.31649212324,632573.0170090707,21
2020-04-16,492736.73226800526,625285.3879426569,21
2020-04-17,495254.4825959977,606273.2111472886,21
2020-04-20,490451.3545178676,609844.7508087724,20
2020-04-21,487616.20287354535,639242.3685312598,20
2020-04-22,490450.1522549344,616298.4585458913,21
2020-04-23,490542.31916229834,613285.5725594026,21
2020-04-24,495040.0418845384,600069.1037200086,21
2020-04-27,498279.8573707504,593755.2109539734,20
2020-04-28,498727.23580787075,602225.8436411401,21
2020-04-29,501071.0322742945,581251.9639132927,21
2020-04-30,498851.31308299664,585454.2891764177,21
2020-05-01,495548.8162052046,607214.9878851819,21
2020-05-04,497355.031797543,603560.4695680491,21
2020-05-05,499541.61342998466,593430.2420089646,21
2020-05-06,499082.6923736082,598074.8267497019,21
2020-05-07,501594.71434689395,585924.0237182336,21
2020-05-08,503852.399866555,574082.7960855257,21
2020-05-11,504990.663093188,564131.7022788228,21
2020-05-12,500918.8383209071,582644.3548224436,21
2020-05-13,499228.4603676347,605170.3757910553,21
2020-05-14,501411.85802167986,584990.9480656933,21
2020-05-15,501562.4458676039,580938.7615537603,21
2020-05-18,504587.7355705983,551153.9121813416,21
2020-05-19,503933.53113919444,557691.2024600724,21
2020-05-20,505679.43714460725,545403.807746311,21
2020-05-21,504817.76368436334,549023.9309807161,21
2020-05-22,505811.5716681724,557599.4726685464,21
2020-05-26,506884.37786046544,546836.665053436,21
2020-05-27,507305.30552919663,538427.8887556572,21
2020-05-28,507046.414883406,538755.7420716465,21
2020-05-29,507757.96718065295,536216.4736775382,21
2020-06-01,507820.26431208313,533085.5710958742,21
2020-06-02,508502.27437230817,529643.8499759741,21
2020-06-03,509164.4327945816,525326.2471331639,21
2020-06-04,509235.24503629346,525689.8555170981,21
2020-06-05,509845.8292564871,519955.5545440378,21
2020-06-08,509918.11886384914,517681.3567883483,21
2020-06-09,509548.98014298186,518467.9061160338,21
2020-06-10,509515.5852009292,519075.60247501166,21
2020-06-11,503853.17269374104,534039.1527510416,21
2020-06-12,506037.12024669664,529033.3063776155,21
2020-06-15,507420.63806638686,525067.8223742223,21
2020-06-16,508035.2867914805,520517.76299021,21
2020-06-17,508106.8254763484,521055.5984016282,21
2020-06-18,508321.5810149678,520755.90291441715,21
2020-06-19,507680.24554092006,534144.7314299579,21
2020-06-22,509470.9967981179,531518.7345601277,21
2020-06-23,509535.6848093784,530108.0636736477,21
2020-06-24,509010.38306160993,537362.0445367136,21
2020-06-25,509416.34347264114,533657.371151053,21
2020-06-26,508774.02745126304,541516.2422489629,21
2020-06-29,509749.923892569,535396.2778677011,21
2020-06-30,510187.44000159955,533280.510827739,19
2020-07-01,510471.5797729256,530418.9776188456,20
2020-07-02,510751.2192109947,553218.6243072036,19
2020-07-06,510474.88158155745,538245.134802341,20
2020-07-07,510422.28615453996,531267.4298514999,21
2020-07-08,510511.98964548355,526240.3369674959,20
2020-07-09,510384.62887355627,526396.7534197882,21
2020-07-10,510725.846214191,527965.0560739293,19
2020-07-13,510340.7485867969,527153.2610645997,20
2020-07-14,510681.37970725255,522544.52309408505,21
2020-07-15,510969.24444391544,521131.64376482234,20
2020-07-16,510929.1836690326,521372.8476679331,21
2020-07-17,511589.40447094286,547448.6525488131,13
2020-07-20,511998.16852438514,529932.1193044262,17
2020-07-21,512057.2710313006,525298.7205929228,17
2020-07-22,512323.80900394847,524246.3767926241,17
2020-07-23,512055.93754672917,532017.8314404831,18
2020-07-24,512678.5323734762,539008.8482387427,13
2020-07-27,512999.90441777965,524795.6806357029,17
2020-07-28,512970.23656856874,525808.3019617706,17
2020-07-29,513342.666399456,521875.8936147373,16
2020-07-30,513382.575632433,521401.1537137778,17
2020-07-31,513941.5445849982,534135.490401485,14
2020-08-03,514182.9986375678,522219.8797067983,15
2020-08-04,514242.7437107647,519998.519326941,17
2020-08-05,514487.84787760914,520885.7236860923,16
2020-08-06,514505.3320682369,518756.96403594856,19
2020-08-07,514919.50749372895,523622.8146653541,14
2020-08-10,515102.48667670274,519718.9536199819,14
2020-08-11,514855.3943225657,520860.26795551524,17
2020-08-12,515110.31691330776,518945.77106455504,16
2020-08-13,515122.5676750508,519469.25372829876,19
2020-08-14,515684.49908890214,525548.2599788295,14
2020-08-17,515824.7782840042,521800.1802360702,15
2020-08-18,515833.3319345468,519367.22503210773,15
2020-08-19,515968.00182850705,519081.0640492854,11
2020-08-20,515958.81431692286,530915.7768669758,17
2020-08-21,516430.49384769186,536521.2081274205,14
2020-08-24,516450.57477565535,528369.3903002596,16
2020-08-25,516448.97537070373,529593.657182206,19
2020-08-26,516668.68907827535,517824.5918254339,14
2020-08-27,516652.97829043196,517926.0996648814,18
2020-08-28,517086.8824585192,529222.9646775948,13
2020-08-31,517044.42385811196,521237.96066080645,15
2020-09-01,517136.34008293174,518387.511610977,16
2020-09-02,517337.49062581424,518859.39810474386,16
2020-09-03,514258.8007100948,712108.8170054216,16
2020-09-04,515706.22784017224,528009.4157366949,12
2020-09-08,515797.95788938843,555728.7099066784,15
2020-09-09,516850.4642819415,528781.5929664747,12
2020-09-10,516865.1475017864,552481.0556764357,15
2020-09-11,517750.4093904926,624095.4415429542,13
2020-09-14,516244.93455388,642583.9888267074,16
2020-09-15,515702.4970467646,649168.8390298807,19
2020-09-16,516036.7755432419,599450.477348794,16
2020-09-17,516729.4637779175,554889.6771498029,18
2020-09-18,517391.8229810749,625163.8697565414,15
2020-09-21,517082.0159811105,616534.0235926665,14
2020-09-22,516620.1619977185,611595.9978919317,18
2020-09-23,516729.6402345585,649156.7837712327,16
2020-09-24,516942.19922621176,639847.7727044006,17
2020-09-25,516784.6511433163,758960.8155278267,15
2020-09-28,515660.9183246617,706149.2945100039,16
2020-09-29,516441.627995188,713931.5141652052,17
2020-09-30,514951.96130781295,724270.3644661386,17
2020-10-01,514744.9121342277,738412.8906388313,17
2020-10-02,515205.3326500008,710420.1026107398,19
2020-10-05,514714.89539960574,669622.4820626994,17
2020-10-06,515163.10439710505,676741.694044566,18
2020-10-07,515444.3713276782,697215.0971245004,17
2020-10-08,515847.5227893485,736406.2589206259,17
2020-10-09,516080.67541436176,806482.7040640732,19
2020-10-12,515318.38275176764,664638.8156338892,17
2020-10-13,515408.16348521865,624691.8957369993,19
2020-10-14,515270.2748360245,613094.9011912993,20
2020-10-15,515113.51027391455,605722.4033254615,21
2020-10-16,514792.3075305972,610754.9369265074,18
2020-10-19,514446.3820226976,624508.7755744857,16
2020-10-20,514563.49650459806,613392.0281268314,17
2020-10-21,515374.58488282724,634544.8109595915,16
2020-10-22,515519.67675633205,637253.9993534825,18
2020-10-23,515730.4898293052,652478.5513493122,19
2020-10-26,514115.9136353467,640440.1619764299,13
2020-10-27,513843.66171230236,646132.0075502245,13
2020-10-28,508102.235233646,753769.3744981384,12
2020-10-29,509091.8697398015,716030.2619597446,12
2020-10-30,509925.62061718246,772337.1003457098,14
2020-11-02,509526.6038806037,672754.2699728941,10
2020-11-03,510154.45848720765,625046.6228172596,12
2020-11-04,513440.2633735619,593508.4858290136,16
2020-11-05,513979.86509104766,566945.2217479543,19
2020-11-06,515567.5781738937,622070.3282601174,16
2020-11-09,515524.2614519942,607143.0006115356,18
2020-11-10,515726.47212347627,587454.4771679942,19
2020-11-11,515855.6760583805,620956.0736111818,16
2020-11-12,515950.7824940439,588083.4914262609,19
2020-11-13,516263.6786281368,606555.351958421,19
2020-11-16,515799.14520879585,547270.6235689467,18
2020-11-17,515893.63258504804,536291.8022500005,20
2020-11-18,515678.7538375491,542997.0965229613,15
2020-11-19,515940.9140453703,536614.4040280135,18
2020-11-20,516010.04984207446,592119.5211210808,16
2020-11-23,516268.1902372141,564919.2028598075,17
2020-11-24,516480.7392218951,571297.3058174094,19
2020-11-25,516789.5596292449,568313.3437902919,19
2020-11-27,516965.2279145662,555230.7521652094,19
2020-11-30,517228.7838625425,527263.2662456632,17
2020-12-01,517212.2754650857,521862.6843940957,19
2020-12-02,517281.36562150065,521890.4462864228,19
2020-12-03,517306.7297847007,531415.7729681139,20
2020-12-04,517721.91526846046,543608.0470638669,15
2020-12-07,517908.30848223285,521574.323822389,15
2020-12-08,517988.36646301264,521657.65913900954,18
2020-12-09,517958.9696829564,523882.78002960654,18
2020-12-10,517967.2938412001,528505.4008707047,20
2020-12-11,518211.28083568095,528368.5711838073,15
2020-12-14,518270.32140511,524330.378415987,14
2020-12-15,518369.9764369618,527675.8972179986,18
2020-12-16,518855.93157463666,527766.8014463781,16
2020-12-17,518906.936060112,529610.481582687,16
2020-12-18,519357.26134365617,537936.4577051955,14
2020-12-21,519270.80652068125,525786.0764090193,16
2020-12-22,519332.8075971423,524605.6930704723,19
2020-12-23,519672.09827778727,527204.1472234706,16
