date,equity,cash,num_positions
2020-02-14,499856.3079960811,630145.8505408055,11
2020-02-18,500148.9916470859,599909.7918458657,16
2020-02-19,499682.38420883403,618627.9627266148,18
2020-02-20,500094.15461940505,591043.6424085759,19
2020-02-21,500956.43220742187,554858.2902203617,19
2020-02-24,496920.6836450274,706822.3710393676,18
2020-02-25,496000.3887257095,1076119.0461888998,18
2020-02-26,492574.0846335098,988814.342645078,17
2020-02-27,492042.3997989523,981049.6043483248,17
2020-02-28,493977.91917256755,510985.41348693304,16
2020-03-02,494650.71504073415,517111.4103216189,16
2020-03-03,494526.567899518,550889.055477596,19
2020-03-04,495689.7024164083,524916.127695867,11
2020-03-05,494684.77590143855,591277.7559541531,15
2020-03-06,498044.3648142974,544463.901309139,15
2020-03-09,489929.5956649474,692815.9106819319,11
2020-03-10,485957.8341868163,547267.5956053144,16
2020-03-11,483374.8376945706,557078.788977538,13
2020-03-12,475783.79401324276,790530.5219854877,13
2020-03-13,466771.13462466636,588145.6653536645,13
2020-03-16,454008.99599071755,677990.3830625416,9
2020-03-17,450493.72790005105,764092.0409917318,15
2020-03-18,457005.1174684712,640079.0145405647,15
2020-03-19,454676.77853881416,680295.8099675364,18
2020-03-20,456780.40880751354,710483.2307081054,17
2020-03-23,458551.7831497677,736850.4897122193,19
2020-03-24,447792.3851033955,792768.9050242065,19
2020-03-25,451754.57432617695,803472.7046209513,18
2020-03-26,450699.0646872207,847931.0117724568,18
2020-03-27,453410.15248263476,824687.7900960583,18
2020-03-30,451974.1191456387,849706.6267317662,17
2020-03-31,445870.6943408695,837721.1499766954,16
2020-04-01,451031.6761326799,801984.5059340078,16
2020-04-02,449015.38011975016,819822.391634509,16
2020-04-03,445656.82215781603,808002.276560197,16
2020-04-06,446656.04481851065,861800.1958427904,16
2020-04-07,447358.714489824,862715.5494486901,16
2020-04-08,449528.26612028794,890807.4299153792,16
2020-04-09,450675.9649763575,903698.8321670992,16
2020-04-13,449531.98662030406,896535.0785321773,16
2020-04-14,449516.9015696032,857823.225428721,14
2020-04-15,448716.05682835204,841645.7603917611,14
2020-04-16,448834.53576206625,845510.0565344901,14
2020-04-17,450883.3789221328,800890.1695511758,12
2020-04-20,450465.50366302836,789535.2093853857,12
2020-04-21,452083.6116053708,768769.9285732922,12
2020-04-22,450404.16907867085,770366.6582850094,13
2020-04-23,448961.0970920966,767664.4466208935,13
2020-04-24,448203.65171892144,774463.5742244303,13
2020-04-27,445889.60447715194,782177.3021459357,15
2020-04-28,447004.93198184326,661371.9463823652,12
2020-04-29,443301.9482116953,808697.0433742866,16
2020-04-30,445144.6241804353,762110.6246207139,18
2020-05-01,452739.5287400639,639448.9390721412,21
2020-05-04,451374.8518478222,575405.8902593664,15
2020-05-05,450265.2311862513,611525.2325356,18
2020-05-06,450449.02982935053,636694.7462211228,14
2020-05-07,448278.4794237071,716094.705551568,16
2020-05-08,444335.4604920159,813119.3645095533,18
2020-05-11,442735.11951965897,634882.4440195202,15
2020-05-12,446324.61931943905,549918.0608860785,18
2020-05-13,447642.62915448204,537213.9954205818,16
2020-05-14,446564.37765688304,581629.7060973351,19
2020-05-15,445844.4819297461,597340.1559642794,19
2020-05-18,442753.0277507795,642230.0369529637,14
2020-05-19,443907.4518368589,597922.2944022814,18
2020-05-20,441596.16888452676,681061.6185848227,14
2020-05-21,442558.6442163817,651984.3426577689,15
2020-05-22,442034.2699344811,669069.0335845929,17
2020-05-26,438498.2991961958,544853.2775055572,14
2020-05-27,437129.48394530406,599929.0398945793,15
2020-05-28,437212.8219672878,592319.0029286416,16
2020-05-29,436476.0272181935,636442.5452497408,16
2020-06-01,435095.21317065676,559936.3260642805,15
2020-06-02,433998.1757356832,587804.3179425707,18
2020-06-03,432567.65407210845,659817.7508709128,16
2020-06-04,432225.48128345597,652868.1434384789,17
2020-06-05,431755.6542046415,923607.7879084825,14
2020-06-08,432203.64427199896,724822.5193657074,16
2020-06-09,432842.0628175078,676509.8338839186,18
2020-06-10,432405.2402842372,609108.8969094174,19
2020-06-11,440868.10140245827,529416.8726105095,20
2020-06-12,440725.7797367416,471664.65126484,19
2020-06-15,439991.8484927241,462895.9386560481,19
2020-06-16,439648.12521734886,484653.2950376124,20
2020-06-17,439937.9396713136,472948.9194439287,19
2020-06-18,439907.6650829219,464234.4186323035,19
2020-06-19,440244.8923388683,462724.052183604,18
2020-06-22,440082.92879945214,475314.9129448524,17
2020-06-23,439968.81739469164,475203.4322959837,18
2020-06-24,440447.2743998646,484716.68920767825,17
2020-06-25,440233.3464743465,453922.7885009786,18
2020-06-26,441139.7721077892,477698.72259066557,16
2020-06-29,440840.4096160594,463375.48762148205,15
2020-06-30,440762.4614401187,448083.7151403467,16
2020-07-01,440915.7040948449,454230.3507344976,17
2020-07-02,441200.8964228935,569440.2656680763,12
2020-07-06,439390.58272892167,614253.0913393602,15
2020-07-07,440737.13704730093,546727.2583947413,16
2020-07-08,439676.105807781,590106.1311663344,16
2020-07-09,440441.7390844175,553086.9640253845,19
2020-07-10,439195.40665622335,611344.0634475977,18
2020-07-13,440104.947412516,468226.7151890932,15
2020-07-14,439903.38599723624,460958.77764066623,18
2020-07-15,439691.5752491382,519029.5490055718,14
2020-07-16,439919.10241670476,507170.77489498985,18
2020-07-17,440025.0550421488,576624.0764190217,15
2020-07-20,438534.0254308211,569930.4855264621,14
2020-07-21,438168.6004420743,593458.9186891136,15
2020-07-22,436999.94147012196,658899.3019860978,14
2020-07-23,439498.1020343463,583248.4027569669,18
2020-07-24,440309.21928838955,524594.9741489588,19
2020-07-27,439508.460478102,475868.33888828853,18
2020-07-28,439696.3101682792,459352.8134365467,19
2020-07-29,439340.1419247848,463541.10422526544,18
2020-07-30,439441.672375062,451806.4132006324,18
2020-07-31,439610.8210879923,482159.31759047485,13
2020-08-03,439552.19347315416,455583.5824473246,14
2020-08-04,439604.9669000966,448580.82653463486,16
2020-08-05,439771.4780964805,451776.5661149083,16
2020-08-06,439727.96338054154,456253.2949358657,19
2020-08-07,440165.30258512596,463770.11132396234,14
2020-08-10,440212.47948338225,451768.3043372793,15
2020-08-11,440134.2247442034,446943.133912684,18
2020-08-12,440246.9478501609,450716.30004004826,16
2020-08-13,440257.9858928606,447190.7053417217,19
2020-08-14,440838.87814166583,447921.4187376187,13
2020-08-17,440845.12249171047,444431.60977078474,14
2020-08-18,440854.6995610086,445702.0651073825,15
2020-08-19,441031.20242762717,443980.8160034687,11
2020-08-20,441015.8637715861,482866.34649475274,15
2020-08-21,441297.1698419794,492987.80908641143,15
2020-08-24,441038.3676387787,463384.48729287717,16
2020-08-25,440972.270604319,467064.06816208275,19
2020-08-26,441348.5688216958,460901.4528155754,15
2020-08-27,441227.7569890292,441717.7615925791,18
2020-08-28,441622.58898818924,446884.9103840315,12
2020-08-31,441593.35267208354,443999.1080595287,13
2020-09-01,441742.78658559127,442608.64054786554,14
2020-09-02,441931.6686382642,442918.72300413495,15
2020-09-03,439004.22970551223,611082.3299579665,15
2020-09-04,440461.7349459899,466366.32040246663,12
2020-09-08,440618.70021818904,543166.9973095132,9
2020-09-09,440601.031031835,446633.95183678786,10
2020-09-10,440452.74129339744,466918.8177477164,12
