date,event,pnl,num_expired
2020-02-21,expiry,54.50000000000001,3
2020-02-26,expiry,-3476.5,3
2020-02-28,expiry,-16071.4931640625,5
2020-03-02,expiry,465.0,3
2020-03-04,expiry,1666.0,6
2020-03-06,expiry,632.994873046875,5
2020-03-09,expiry,-44.0,2
2020-03-11,expiry,1349.5,5
2020-03-13,expiry,-83.0,2
2020-03-18,expiry,-76.5,3
2020-03-20,expiry,-49.5,2
2020-03-23,expiry,-3977.0,5
2020-03-25,expiry,-276.0,1
2020-03-30,expiry,-385.5,3
2020-04-01,expiry,-308.0,2
2020-04-06,expiry,1495.994140625,4
2020-04-13,expiry,-743.0,4
2020-04-20,expiry,-184.5,2
2020-04-27,expiry,-172.5,2
2020-05-04,expiry,-37.5,1
2020-05-11,expiry,-22.0,1
2020-05-15,expiry,30.0,1
2020-05-22,expiry,123.0,1
2020-06-19,expiry,5229.0,1
2020-06-30,expiry,19139.0,4
2020-07-02,expiry,104.0,3
2020-07-06,expiry,-21.000000000000004,1
2020-07-08,expiry,-14.499999999999998,2
2020-07-10,expiry,118.0,4
2020-07-15,expiry,76.5,3
2020-07-17,expiry,45286.5,17
2020-07-22,expiry,158.5,4
2020-07-24,expiry,651.0,10
2020-07-27,expiry,23.0,1
2020-07-29,expiry,491.5,6
2020-07-31,expiry,1036.5,11
2020-08-03,expiry,42.5,2
2020-08-05,expiry,213.5,6
2020-08-07,expiry,669.0,12
2020-08-10,expiry,60.5,3
2020-08-12,expiry,199.0,7
2020-08-14,expiry,487.5,11
2020-08-17,expiry,79.0,3
2020-08-19,expiry,159.0,4
2020-08-21,expiry,3530.0,10
2020-08-24,expiry,30.5,3
2020-08-26,expiry,160.0,5
2020-08-28,expiry,549.0,14
2020-08-31,expiry,21.000000000000004,1
2020-09-02,expiry,182.5,6
2020-09-04,expiry,-2665.991943359375,13
2020-09-08,expiry,216.0,3
2020-09-09,expiry,830.0,8
2020-09-11,expiry,1432.0,11
2020-09-14,expiry,-80.5,2
2020-09-16,expiry,-25.0,5
2020-09-18,expiry,1547.0,10
2020-09-21,expiry,-236.0,6
2020-09-23,expiry,201.0,6
2020-09-25,expiry,373.5,6
2020-09-28,expiry,-113.4990234375,5
2020-10-05,expiry,-485.0,7
2020-10-07,expiry,-39.0,2
2020-10-12,expiry,2334.98974609375,6
2020-10-14,expiry,-57.5,2
2020-10-16,expiry,1829.5000000000002,7
2020-10-19,expiry,-62.0,2
2020-10-21,expiry,35.50000000000001,6
2020-10-23,expiry,138.0,3
2020-10-26,expiry,-189.0,6
2020-10-28,expiry,-442.999267578125,1
2020-11-02,expiry,-527.0,4
2020-11-04,expiry,325.0,2
2020-11-06,expiry,1201.5,9
2020-11-09,expiry,11.5,2
2020-11-11,expiry,80.5,6
2020-11-13,expiry,55.5,3
2020-11-16,expiry,-125.0,4
2020-11-18,expiry,142.0,6
2020-11-20,expiry,294.0,8
2020-11-23,expiry,-33.0,3
2020-11-25,expiry,60.0,2
2020-11-30,expiry,-62.5,3
2020-12-02,expiry,134.0,2
2020-12-04,expiry,1054.5,10
2020-12-07,expiry,-27.0,1
2020-12-09,expiry,77.0,3
2020-12-11,expiry,342.0,8
2020-12-14,expiry,86.5,2
2020-12-16,expiry,474.5,8
2020-12-18,expiry,9908.0,10
2020-12-23,expiry,292.0,7
2020-12-24,expiry,136.0,5
2020-12-28,expiry,15.0,3
2020-12-30,expiry,100.5,3
2020-12-31,expiry,5766.5,13
2021-01-04,expiry,87.0,3
2021-01-06,expiry,1105.5,9
2021-01-08,expiry,820.0,8
2021-01-11,expiry,171.0,4
2021-01-13,expiry,348.0,6
2021-01-15,expiry,4994.0,13
2021-01-19,expiry,113.0,5
2021-01-20,expiry,346.0,6
2021-01-22,expiry,542.5,10
2021-01-25,expiry,31.0,1
2021-01-27,expiry,454.0,8
2021-01-29,expiry,2681.0,10
2021-02-01,expiry,190.5,3
2021-02-03,expiry,1475.0,10
2021-02-05,expiry,827.0,4
2021-02-08,expiry,-153.5,6
2021-02-10,expiry,-23.0,1
2021-02-12,expiry,-33.0,3
2021-02-16,expiry,-356.0,6
2021-02-17,expiry,-102.0,6
2021-02-19,expiry,263.5,9
2021-02-22,expiry,45.0,5
2021-02-24,expiry,221.0,7
2021-02-26,expiry,-145.5087890625,10
2021-03-01,expiry,449.0,8
2021-03-03,expiry,832.5,8
2021-03-05,expiry,978.5,11
2021-03-08,expiry,50.0,2
2021-03-10,expiry,456.5,7
2021-03-12,expiry,364.5,5
2021-03-15,expiry,585.50146484375,3
2021-03-17,expiry,-23.0,1
2021-03-19,expiry,74.5,5
2021-03-22,expiry,-297.0,6
2021-03-24,expiry,-34.0,5
2021-03-26,expiry,246.5,10
2021-03-29,expiry,5.0,2
2021-03-31,expiry,183.5,9
2021-04-01,expiry,417.0,8
2021-04-05,expiry,204.4970703125,3
