date,event,pnl,num_expired
2020-02-21,expiry,117.0,5
2020-02-24,expiry,-36.997314453125,3
2020-02-26,expiry,-11984.0,4
2020-02-28,expiry,-44658.4814453125,7
2020-03-02,expiry,116.5,1
2020-03-04,expiry,4952.0,11
2020-03-06,expiry,5081.9906005859375,7
2020-03-09,expiry,-5276.993408203125,3
2020-03-11,expiry,-7256.02783203125,12
2020-03-13,expiry,2034.00146484375,9
2020-03-16,expiry,-3388.998779296875,2
2020-03-18,expiry,-12669.0,5
2020-03-20,expiry,7173.505798339844,11
2020-03-23,expiry,3743.0,6
2020-03-25,expiry,-1251.4939575195312,16
2020-03-27,expiry,7242.5,16
2020-03-30,expiry,1453.0,5
2020-03-31,expiry,2341.0,7
2020-04-01,expiry,-1208.009765625,8
2020-04-03,expiry,5010.0,15
2020-04-06,expiry,256.0,2
2020-04-08,expiry,2465.5,10
2020-04-09,expiry,2964.0,13
2020-04-15,expiry,1156.0,6
2020-04-17,expiry,3146.0,8
2020-04-20,expiry,281.0,2
2020-04-22,expiry,1242.5,5
2020-04-24,expiry,3582.5,11
2020-04-27,expiry,-310.0,5
2020-04-29,expiry,-4.0,5
2020-05-01,expiry,500.0042724609375,13
2020-05-04,expiry,-42.00000000000001,1
2020-05-06,expiry,293.0,3
2020-05-08,expiry,1444.0,8
2020-05-11,expiry,148.00000000000003,2
2020-05-13,expiry,600.5,7
2020-05-15,expiry,1730.5,10
2020-05-18,expiry,306.0,3
2020-05-20,expiry,1039.0,8
2020-05-22,expiry,2681.0,14
2020-05-26,expiry,-27.0,1
2020-06-01,expiry,-154.5,5
2020-06-03,expiry,-56.0,2
2020-06-05,expiry,56.0,2
2020-06-08,expiry,399.001220703125,1
2020-06-10,expiry,197.0,5
2020-06-12,expiry,-699.0025634765625,3
2020-06-17,expiry,21.000000000000004,1
2020-06-22,expiry,-132.0,4
2020-06-26,expiry,11.5,1
2020-06-29,expiry,-339.0,4
2020-07-01,expiry,13.5,1
2020-07-06,expiry,-1234.0,8
2020-07-08,expiry,-90.0,3
2020-07-10,expiry,293.0,7
2020-07-13,expiry,-285.0,3
2020-07-15,expiry,207.0,5
2020-07-17,expiry,1209.0,8
2020-07-22,expiry,188.0,4
2020-07-24,expiry,401.5,7
2020-07-27,expiry,23.0,1
2020-07-29,expiry,158.0,4
2020-07-31,expiry,517.0,10
2020-08-05,expiry,201.0,5
2020-08-07,expiry,353.5,9
2020-08-10,expiry,33.5,2
2020-08-12,expiry,149.0,5
2020-08-14,expiry,262.0,9
2020-08-17,expiry,21.000000000000004,1
2020-08-19,expiry,103.5,3
2020-08-21,expiry,10457.5,10
2020-08-24,expiry,19.0,3
2020-08-26,expiry,149.5,5
2020-08-28,expiry,404.5,11
2020-08-31,expiry,-10.500000000000002,2
2020-09-02,expiry,162.0,5
2020-09-04,expiry,-1594.493408203125,12
2020-09-08,expiry,135.0,2
2020-09-09,expiry,669.0,7
2020-09-11,expiry,1516.0,9
2020-09-16,expiry,16.0,6
2020-09-18,expiry,11310.5,12
2020-09-21,expiry,-262.5,6
2020-09-28,expiry,398.00244140625,9
2020-10-02,expiry,62.5,3
2020-10-05,expiry,-27.0,1
2020-10-07,expiry,66.0,3
2020-10-09,expiry,51.5,2
2020-10-12,expiry,1312.490478515625,5
2020-10-14,expiry,-73.0,3
2020-10-16,expiry,161.0,5
2020-10-19,expiry,-83.0,3
2020-10-21,expiry,49.00000000000001,6
2020-10-23,expiry,208.0,5
2020-10-26,expiry,-203.5,5
2020-11-02,expiry,-916.5,10
2020-11-04,expiry,522.0,3
2020-11-06,expiry,681.0,8
2020-11-11,expiry,296.0,6
2020-11-13,expiry,494.0,7
2020-11-16,expiry,37.5,2
2020-11-18,expiry,229.5,5
2020-11-20,expiry,607.0,8
2020-11-23,expiry,10.500000000000002,1
2020-11-25,expiry,217.0,5
2020-11-27,expiry,51.0,1
2020-11-30,expiry,-34.5,2
2020-12-02,expiry,205.5,5
2020-12-04,expiry,622.0,6
2020-12-07,expiry,-81.5,3
2020-12-09,expiry,62.5,3
2020-12-11,expiry,67.0,3
2020-12-14,expiry,69.0,2
2020-12-16,expiry,151.5,4
2020-12-18,expiry,7239.5,6
2020-12-23,expiry,169.0,4
2020-12-24,expiry,63.0,2
2020-12-28,expiry,-280.0,5
2020-12-30,expiry,30.0,3
2020-12-31,expiry,5468.5,12
2021-01-04,expiry,-835.0,7
2021-01-06,expiry,860.0,9
2021-01-08,expiry,868.0,9
2021-01-11,expiry,171.0,4
2021-01-13,expiry,376.0,7
2021-01-15,expiry,4783.0,13
2021-01-19,expiry,180.0,5
2021-01-20,expiry,317.0,5
2021-01-22,expiry,601.5,11
2021-01-25,expiry,40.5,3
2021-01-27,expiry,409.5,8
2021-01-29,expiry,3194.5,12
2021-02-01,expiry,294.0,4
2021-02-03,expiry,1475.0,10
2021-02-05,expiry,1064.5,9
