date,event,pnl,num_expired
2020-02-21,expiry,33.5,2
2020-02-24,expiry,-25.0,1
2020-02-26,expiry,-3569.0,3
2020-02-28,expiry,-35758.4853515625,7
2020-03-02,expiry,812.0,5
2020-03-04,expiry,3081.00146484375,11
2020-03-06,expiry,272.48889160156244,7
2020-03-09,expiry,-4333.9945068359375,4
2020-03-11,expiry,-4641.0205078125,9
2020-03-13,expiry,1238.00146484375,9
2020-03-16,expiry,-3287.998779296875,1
2020-03-18,expiry,-11284.5,6
2020-03-20,expiry,3731.0030517578125,6
2020-03-25,expiry,525.5,1
2020-03-30,expiry,-157.5,1
2020-03-31,expiry,-326.0,1
2020-04-24,expiry,-35.0,1
2020-04-27,expiry,-47.5,2
2020-04-29,expiry,-29.000000000000004,1
2020-05-01,expiry,-162.0,4
2020-05-04,expiry,-487.5,9
2020-05-06,expiry,-678.0,10
2020-05-08,expiry,-99.00000000000001,2
2020-05-11,expiry,-463.5,8
2020-05-13,expiry,-297.0,7
2020-05-15,expiry,54.0,1
2020-05-18,expiry,635.0,10
2020-05-20,expiry,159.99853515625,5
2020-05-22,expiry,-21.000000000000004,1
2020-05-26,expiry,-663.5013427734375,8
2020-05-27,expiry,-309.5,6
2020-05-29,expiry,75.0,3
2020-06-01,expiry,-160.50000000000003,5
2020-06-03,expiry,-200.00146484375,8
2020-06-05,expiry,101.5,3
2020-06-08,expiry,8678.523193359375,4
2020-06-10,expiry,-74.0,3
2020-06-12,expiry,37.4991455078125,4
2020-06-15,expiry,-4.0,2
2020-06-17,expiry,349.0,4
2020-06-19,expiry,364.0,4
2020-06-22,expiry,-476.0,6
2020-06-24,expiry,53.99999999999994,5
2020-06-26,expiry,609.0,8
2020-06-29,expiry,-780.0,7
2020-06-30,expiry,-239.0,3
2020-07-01,expiry,222.0,4
2020-07-02,expiry,1279.0,14
2020-07-06,expiry,-234.00244140625,4
2020-07-08,expiry,-75.0,2
2020-07-10,expiry,-24.0,3
2020-07-13,expiry,-476.5,10
2020-07-15,expiry,19.500000000000004,12
2020-07-17,expiry,576.5,9
2020-07-20,expiry,-209.0,7
2020-07-22,expiry,-140.0,4
2020-07-24,expiry,-48.0,2
2020-07-27,expiry,-285.5,4
2020-07-29,expiry,-142.0,5
2020-07-31,expiry,412.0,13
2020-08-03,expiry,-130.0,4
2020-08-05,expiry,169.0,5
2020-08-07,expiry,644.0,12
2020-08-10,expiry,23.0,1
2020-08-12,expiry,366.0,7
2020-08-14,expiry,811.0,11
2020-08-17,expiry,16.5,5
2020-08-19,expiry,204.0,4
2020-08-21,expiry,495.5,7
2020-08-24,expiry,152.502685546875,4
2020-08-26,expiry,488.00146484375,7
2020-08-28,expiry,515.5,15
2020-08-31,expiry,35.50000000000001,2
2020-09-02,expiry,162.0,5
2020-09-04,expiry,-1988.99267578125,12
2020-09-08,expiry,216.0,3
2020-09-09,expiry,679.0008544921875,6
2020-09-11,expiry,1355.0,10
2020-09-14,expiry,123.0,2
2020-09-16,expiry,592.0,8
2020-09-18,expiry,1820.0,10
2020-09-21,expiry,-74.5,3
2020-09-23,expiry,348.0,7
2020-09-25,expiry,748.5,8
2020-09-28,expiry,-17.4990234375,6
2020-09-30,expiry,94.0,3
