symbol,quantity,price,trade_type,timestamp,strike,expiry,option_type,implied_vol,delta
SPY,1.0,0.11499999999999999,option,2020-02-14,352.0,2020-03-11,call,0.17658940852205993,0.20257726245090463
SPY,-20.257726245090463,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.11499999999999999,option,2020-02-14,352.0,2020-03-11,call,0.17658940852205993,0.20257726245090463
SPY,-20.257726245090463,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.11499999999999999,option,2020-02-14,351.0,2020-03-09,call,0.17574342776249036,0.2083877664064238
SPY,-20.838776640642383,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.11499999999999999,option,2020-02-14,351.0,2020-03-09,call,0.17574342776249036,0.2083877664064238
SPY,-20.838776640642383,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.125,option,2020-02-14,353.0,2020-03-13,call,0.17736790541940314,0.19704840732088308
SPY,-19.704840732088307,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.125,option,2020-02-14,353.0,2020-03-13,call,0.17736790541940314,0.19704840732088308
SPY,-19.704840732088307,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.14500000000000002,option,2020-02-14,354.0,2020-03-18,call,0.1790551507133779,0.20595151748313484
SPY,-20.595151748313484,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.14500000000000002,option,2020-02-14,354.0,2020-03-18,call,0.1790551507133779,0.20595151748313484
SPY,-20.595151748313484,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,352.5,2020-03-13,call,0.17736790541940314,0.2051522129780447
SPY,-20.51522129780447,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,352.5,2020-03-13,call,0.17736790541940314,0.2051522129780447
SPY,-20.51522129780447,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,347.0,2020-03-02,call,0.1721531568242604,0.2433586753709821
SPY,-24.33586753709821,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,347.0,2020-03-02,call,0.1721531568242604,0.2433586753709821
SPY,-24.33586753709821,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.10500000000000001,option,2020-02-14,347.0,2020-02-28,call,0.17025338277534813,0.21653288041437618
SPY,-21.65328804143762,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.10500000000000001,option,2020-02-14,347.0,2020-02-28,call,0.17025338277534813,0.21653288041437618
SPY,-21.65328804143762,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.155,option,2020-02-14,352.0,2020-03-13,call,0.17736790541940314,0.21346274559746237
SPY,-21.346274559746238,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.155,option,2020-02-14,352.0,2020-03-13,call,0.17736790541940314,0.21346274559746237
SPY,-21.346274559746238,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.185,option,2020-02-14,353.0,2020-03-18,call,0.1790551507133779,0.2212416715649324
SPY,-22.12416715649324,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.185,option,2020-02-14,353.0,2020-03-18,call,0.1790551507133779,0.2212416715649324
SPY,-22.12416715649324,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.185,option,2020-02-14,354.0,2020-03-20,call,0.17963912734602,0.2146353003826309
SPY,-21.46353003826309,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.185,option,2020-02-14,354.0,2020-03-20,call,0.17963912734602,0.2146353003826309
SPY,-21.46353003826309,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,350.0,2020-03-06,call,0.17433388708718572,0.2077679108076726
SPY,-20.77679108076726,337.6000061035156,stock,2020-02-14,,,,,
SPY,5.903474494997091,337.6000061035156,stock,2020-02-14,,,,,
SPY,82.9978580324525,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.10500000000000001,option,2020-02-18,327.0,2020-02-21,put,0.15265477642588737,-0.016280967050455897
SPY,-1.6280967050455897,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.10500000000000001,option,2020-02-18,327.0,2020-02-21,put,0.15265477642588737,-0.016280967050455897
SPY,-1.6280967050455897,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.135,option,2020-02-18,320.0,2020-02-26,put,0.1593066641230219,-0.014221902207310122
SPY,-1.4221902207310122,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.135,option,2020-02-18,320.0,2020-02-26,put,0.1593066641230219,-0.014221902207310122
SPY,-1.4221902207310122,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.10500000000000001,option,2020-02-18,327.5,2020-02-21,put,0.15265477642588737,-0.021328938559811106
SPY,-2.1328938559811106,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.10500000000000001,option,2020-02-18,327.5,2020-02-21,put,0.15265477642588737,-0.021328938559811106
SPY,-2.1328938559811106,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.245,option,2020-02-18,320.0,2020-02-28,put,0.16154553073267505,-0.026208402558411836
SPY,-2.6208402558411836,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.245,option,2020-02-18,320.0,2020-02-28,put,0.16154553073267505,-0.026208402558411836
SPY,-2.6208402558411836,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.155,option,2020-02-18,321.0,2020-02-26,put,0.1593066641230219,-0.01975591018743106
SPY,-1.9755910187431058,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.155,option,2020-02-18,321.0,2020-02-26,put,0.1593066641230219,-0.01975591018743106
SPY,-1.9755910187431058,336.7300109863281,stock,2020-02-18,,,,,
SPY,-0.18203929640927718,336.7300109863281,stock,2020-02-18,,,,,
SPY,-36.12635343759284,338.3399963378906,stock,2020-02-19,,,,,
SPY,-1.0,0.155,option,2020-02-19,322.0,2020-02-28,put,0.15515512681047597,-0.019502473812167853
SPY,-1.9502473812167853,338.3399963378906,stock,2020-02-19,,,,,
SPY,-1.0,0.155,option,2020-02-19,322.0,2020-02-28,put,0.15515512681047597,-0.019502473812167853
SPY,-1.9502473812167853,338.3399963378906,stock,2020-02-19,,,,,
SPY,1.0,0.135,option,2020-02-19,355.0,2020-03-23,call,0.17502079850965951,0.1969162510814888
SPY,-19.69162510814888,338.3399963378906,stock,2020-02-19,,,,,
SPY,1.0,0.135,option,2020-02-19,355.0,2020-03-23,call,0.17502079850965951,0.1969162510814888
SPY,-19.69162510814888,338.3399963378906,stock,2020-02-19,,,,,
SPY,1.0,0.10500000000000001,option,2020-02-19,355.0,2020-03-18,call,0.172428301758751,0.1709376191244525
SPY,-17.09376191244525,338.3399963378906,stock,2020-02-19,,,,,
SPY,0.5757622407378555,338.3399963378906,stock,2020-02-19,,,,,
SPY,78.04337429315876,336.95001220703125,stock,2020-02-20,,,,,
SPY,-1.0,0.125,option,2020-02-20,332.0,2020-02-21,put,0.13685024194237796,-0.01888549301182385
SPY,-1.888549301182385,336.95001220703125,stock,2020-02-20,,,,,
SPY,1.0,0.125,option,2020-02-20,353.0,2020-03-20,call,0.17181181681939844,0.18304194905038285
SPY,-18.304194905038283,336.95001220703125,stock,2020-02-20,,,,,
SPY,0.19213100126439286,336.95001220703125,stock,2020-02-20,,,,,
SPY,139.27885198836427,333.4800109863281,stock,2020-02-21,,,,,
SPY,-1.0,0.125,option,2020-02-21,317.0,2020-02-28,put,0.1469392584968548,-0.0058738195039343966
SPY,-0.5873819503934397,333.4800109863281,stock,2020-02-21,,,,,
SPY,-1.0,0.125,option,2020-02-21,317.0,2020-02-28,put,0.1469392584968548,-0.0058738195039343966
SPY,-0.5873819503934397,333.4800109863281,stock,2020-02-21,,,,,
SPY,-1.0,0.125,option,2020-02-21,317.5,2020-02-28,put,0.1469392584968548,-0.007299343930848745
SPY,-0.7299343930848745,333.4800109863281,stock,2020-02-21,,,,,
SPY,-0.024482835297448435,333.4800109863281,stock,2020-02-21,,,,,
SPY,-76.63265480654883,322.4200134277344,stock,2020-02-24,,,,,
SPY,-1.0,0.655,option,2020-02-24,307.0,2020-02-26,put,0.13604992331038476,-5.246363016242483e-07
SPY,-5.2463630162424835e-05,322.4200134277344,stock,2020-02-24,,,,,
SPY,-690.6213185004921,312.6499938964844,stock,2020-02-25,,,,,
SPY,360.61491431306,311.5,stock,2020-02-26,,,,,
SPY,1.0,1.38,option,2020-02-26,327.0,2020-03-25,call,0.23131813239697574,0.24134750436128516
SPY,-24.134750436128517,311.5,stock,2020-02-26,,,,,
SPY,1.0,1.38,option,2020-02-26,327.0,2020-03-25,call,0.23131813239697574,0.24134750436128516
SPY,-24.134750436128517,311.5,stock,2020-02-26,,,,,
SPY,1.0,1.575,option,2020-02-26,327.0,2020-03-30,call,0.22524281579170585,0.25576830690136465
SPY,-25.576830690136465,311.5,stock,2020-02-26,,,,,
SPY,0.6125322299545033,311.5,stock,2020-02-26,,,,,
SPY,34.468418353159144,297.510009765625,stock,2020-02-27,,,,,
SPY,703.9115415573161,296.260009765625,stock,2020-02-28,,,,,
SPY,-1.0,1.165,option,2020-02-28,282.0,2020-03-02,put,0.30312164634562144,-0.034777231884077664
SPY,-3.4777231884077664,296.260009765625,stock,2020-02-28,,,,,
SPY,-1.0,1.165,option,2020-02-28,282.0,2020-03-02,put,0.30312164634562144,-0.034777231884077664
SPY,-3.4777231884077664,296.260009765625,stock,2020-02-28,,,,,
SPY,-1.0,2.9349999999999996,option,2020-02-28,282.0,2020-03-04,put,0.2969990058478051,-0.07431482312337778
SPY,-7.431482312337778,296.260009765625,stock,2020-02-28,,,,,
SPY,-1.0,2.9349999999999996,option,2020-02-28,282.0,2020-03-04,put,0.2969990058478051,-0.07431482312337778
SPY,-7.431482312337778,296.260009765625,stock,2020-02-28,,,,,
SPY,-1.0,1.295,option,2020-02-28,283.0,2020-03-02,put,0.30312164634562144,-0.045898782226069024
SPY,-4.589878222606902,296.260009765625,stock,2020-02-28,,,,,
SPY,-1.0,1.295,option,2020-02-28,283.0,2020-03-02,put,0.30312164634562144,-0.045898782226069024
SPY,-4.589878222606902,296.260009765625,stock,2020-02-28,,,,,
SPY,-0.1654173121138669,296.260009765625,stock,2020-02-28,,,,,
SPY,-4.686816461154686,309.0899963378906,stock,2020-03-02,,,,,
SPY,-1.0,1.3,option,2020-03-02,294.0,2020-03-04,put,0.42219720358165963,-0.05254156032157886
SPY,-5.254156032157886,309.0899963378906,stock,2020-03-02,,,,,
SPY,-1.0,1.3,option,2020-03-02,294.0,2020-03-04,put,0.42219720358165963,-0.05254156032157886
SPY,-5.254156032157886,309.0899963378906,stock,2020-03-02,,,,,
SPY,-1.0,1.46,option,2020-03-02,295.0,2020-03-04,put,0.42219720358165963,-0.06526128641429141
SPY,-6.526128641429141,309.0899963378906,stock,2020-03-02,,,,,
SPY,-1.0,1.46,option,2020-03-02,295.0,2020-03-04,put,0.42219720358165963,-0.06526128641429141
SPY,-6.526128641429141,309.0899963378906,stock,2020-03-02,,,,,
SPY,-1.0,1.635,option,2020-03-02,296.0,2020-03-04,put,0.42219720358165963,-0.08019491180464655
