symbol,quantity,price,trade_type,timestamp,strike,expiry,option_type,implied_vol,delta
SPY,1.0,0.11499999999999999,option,2020-02-14,351.0,2020-03-09,call,0.15212864703087045,0.17243060175379293
SPY,-17.243060175379295,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.11499999999999999,option,2020-02-14,351.0,2020-03-09,call,0.15212864703087045,0.17243060175379293
SPY,-17.243060175379295,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.11499999999999999,option,2020-02-14,352.0,2020-03-11,call,0.15212864703087045,0.16518872665035167
SPY,-16.51887266503517,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.11499999999999999,option,2020-02-14,352.0,2020-03-11,call,0.15212864703087045,0.16518872665035167
SPY,-16.51887266503517,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,347.0,2020-03-02,call,0.15212864703087045,0.2142682940705415
SPY,-21.42682940705415,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,347.0,2020-03-02,call,0.15212864703087045,0.2142682940705415
SPY,-21.42682940705415,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.10500000000000001,option,2020-02-14,347.0,2020-02-28,call,0.15212864703087045,0.18912680521014819
SPY,-18.912680521014817,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.10500000000000001,option,2020-02-14,347.0,2020-02-28,call,0.15212864703087045,0.18912680521014819
SPY,-18.912680521014817,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.125,option,2020-02-14,344.0,2020-02-24,call,0.15212864703087045,0.238399927196437
SPY,-23.8399927196437,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.125,option,2020-02-14,344.0,2020-02-24,call,0.15212864703087045,0.238399927196437
SPY,-23.8399927196437,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.125,option,2020-02-14,353.0,2020-03-13,call,0.15212864703087045,0.15837235410732275
SPY,-15.837235410732276,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.125,option,2020-02-14,353.0,2020-03-13,call,0.15212864703087045,0.15837235410732275
SPY,-15.837235410732276,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,352.5,2020-03-13,call,0.15212864703087045,0.16663968480560265
SPY,-16.663968480560264,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,352.5,2020-03-13,call,0.15212864703087045,0.16663968480560265
SPY,-16.663968480560264,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.14500000000000002,option,2020-02-14,354.0,2020-03-18,call,0.15212864703087045,0.16487985668874638
SPY,-16.48798566887464,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.14500000000000002,option,2020-02-14,354.0,2020-03-18,call,0.15212864703087045,0.16487985668874638
SPY,-16.48798566887464,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,345.0,2020-02-26,call,0.15212864703087045,0.22709963600115085
SPY,-22.709963600115085,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,345.0,2020-02-26,call,0.15212864703087045,0.22709963600115085
SPY,-22.709963600115085,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.155,option,2020-02-14,352.0,2020-03-13,call,0.15212864703087045,0.17519281822305122
SPY,-17.51928182230512,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.155,option,2020-02-14,352.0,2020-03-13,call,0.15212864703087045,0.17519281822305122
SPY,-17.51928182230512,337.6000061035156,stock,2020-02-14,,,,,
SPY,1.0,0.135,option,2020-02-14,349.0,2020-03-04,call,0.15212864703087045,0.1815514305228092
SPY,-18.15514305228092,337.6000061035156,stock,2020-02-14,,,,,
SPY,5.753793400208146,337.6000061035156,stock,2020-02-14,,,,,
SPY,106.37172819931283,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.135,option,2020-02-18,320.0,2020-02-26,put,0.14903804271705393,-0.009628870385969157
SPY,-0.9628870385969157,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.135,option,2020-02-18,320.0,2020-02-26,put,0.14903804271705393,-0.009628870385969157
SPY,-0.9628870385969157,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.10500000000000001,option,2020-02-18,327.0,2020-02-21,put,0.14903804271705393,-0.014299096104672615
SPY,-1.4299096104672615,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.10500000000000001,option,2020-02-18,327.0,2020-02-21,put,0.14903804271705393,-0.014299096104672615
SPY,-1.4299096104672615,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.245,option,2020-02-18,320.0,2020-02-28,put,0.14903804271705393,-0.01785037028465375
SPY,-1.785037028465375,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.245,option,2020-02-18,320.0,2020-02-28,put,0.14903804271705393,-0.01785037028465375
SPY,-1.785037028465375,336.7300109863281,stock,2020-02-18,,,,,
SPY,-1.0,0.155,option,2020-02-18,321.0,2020-02-26,put,0.14903804271705393,-0.013935584954487323
SPY,-1.3935584954487323,336.7300109863281,stock,2020-02-18,,,,,
