date,historical_equity,GARCH_equity
2023-12-12,199975.69136670226,199994.04207657158
2023-12-13,199636.19612254217,200099.24523942688
2023-12-14,199679.22164643405,200109.21045827505
2023-12-15,199937.72387001588,200290.99660279517
2023-12-18,199974.88953232576,200340.98526803235
2023-12-19,200072.7406904075,200502.46852135667
2023-12-20,200059.61186219676,200480.45951429455
2023-12-21,200327.6359076232,200913.36156229943
2023-12-22,200739.71892651342,201226.0956435409
2023-12-26,200818.35743999583,200241.60240721644
2023-12-27,200913.8071870457,200172.66584947053
2023-12-28,201225.61172255717,200550.4370687041
2023-12-29,201733.6400985855,200933.23692434878
2024-01-02,202058.1256524974,201175.96065825512
2024-01-03,202096.42141453916,201182.62370065114
2024-01-04,202405.3494633582,201420.7592440971
2024-01-05,202883.5181073521,202089.80290997864
2024-01-08,202329.2523834661,201876.40221428496
2024-01-09,202463.96570905327,202006.30710566003
2024-01-10,202536.27147160022,202089.2632864801
2024-01-11,202893.67330411464,202345.49562222508
2024-01-12,203388.50190513206,202843.80240249683
2024-01-16,203473.464307665,202912.59729600538
2024-01-17,203537.15749832458,202968.78248669067
2024-01-18,203605.12707227247,203057.5774856394
2024-01-19,204209.30152291415,203671.44819489724
2024-01-22,204693.24278457023,204107.95577023845
2024-01-23,204939.71057216698,204360.90009905046
2024-01-24,205003.80086732956,204426.76473938598
2024-01-25,205099.0190296139,204527.24322563724
2024-01-26,205337.6949919357,204823.0208642437
2024-01-29,205370.53315629513,204859.23460076115
2024-01-30,205370.56908299707,204859.2607468989
2024-01-31,205793.43988929852,205195.23047469102
2024-02-01,206207.22507441434,205568.29759282063
2024-02-02,206898.3097454218,206315.49959735328
2024-02-05,207053.13151625812,206542.4489629855
2024-02-06,207061.82197228397,206536.57250312984
2024-02-07,207218.4856491941,206675.4045212316
2024-02-08,207416.43034617841,206870.96805498586
2024-02-09,207853.24006483072,207235.58017182688
2024-02-12,208052.41050658145,207424.68257222825
2024-02-13,207912.7295880658,207403.55847393593
2024-02-14,207932.34468896268,207419.99329107272
2024-02-15,208298.9264477368,207783.62405100424
2024-02-16,209280.67459351558,208740.64400709365
2024-02-20,209464.76111739717,208979.590572636
2024-02-21,209671.0196967046,209180.73563885878
2024-02-22,209915.6009376003,209368.66522878458
2024-02-23,210689.62243935023,210078.69397527378
2024-02-26,210527.61454449003,209718.71850127753
2024-02-27,210527.68628499436,209681.96437028958
2024-02-28,210576.90762464725,209748.9005168741
2024-02-29,211122.69551256017,210166.46953520196
2024-03-01,211539.22706061916,210390.48819133663
2024-03-04,211720.55956004403,210527.34012709098
2024-03-05,211593.3156859657,210368.98328128562
2024-03-06,211721.98486565443,210558.4442277838
2024-03-07,211699.66184877264,210648.9454797279
2024-03-08,212311.93071126082,211211.37736567773
2024-03-11,212688.264018692,211626.3721005141
2024-03-12,212850.20494937664,211739.6686229761
2024-03-13,213046.23412962334,211929.72060874736
2024-03-14,213441.34885660658,212310.0055633664
2024-03-15,214635.50631451316,213426.463048787
2024-03-18,214830.43460480598,213602.85548148834
2024-03-19,215030.46624732943,213703.84296439952
2024-03-20,215015.7761701007,213775.42109650918
2024-03-21,215189.35549909112,213943.43407276864
2024-03-22,215783.89072364685,214504.98515962053
2024-03-25,216384.07249084758,214967.74220401375
2024-03-26,216525.53896305012,215074.59890454556
2024-03-27,216275.76683559734,214980.3763136088
2024-03-28,216524.79961465127,215293.04484251546
2024-04-01,216785.71785013183,215526.34121394204
2024-04-02,216572.94372390944,215452.2070298372
2024-04-03,217063.87241351337,216040.06589680514
2024-04-04,214672.55896263255,213291.49933615947
2024-04-05,216738.80311707975,215229.8359397361
2024-04-08,217581.54534314646,216065.83631216077
2024-04-09,217608.43355905736,216108.02668523233
2024-04-10,217901.63568611347,216379.12140749584
2024-04-11,218507.02889919037,216943.9283979627
2024-04-12,218963.1436150213,217793.3459523534
2024-04-15,218655.3926938137,217736.18625887635
2024-04-16,220174.56908935396,219188.81905818408
2024-04-17,221133.55694007274,220028.78410194063
2024-04-18,221809.93453674912,220539.79062832863
2024-04-19,222562.55399424507,221328.12647922296
2024-04-22,223626.46124889376,222590.4527247924
2024-04-23,224170.49386488664,223033.83610141836
2024-04-24,224335.71769945728,223027.74726276682
2024-04-25,224664.15586639053,223505.71393403976
2024-04-26,225601.9253832422,224419.77373768055
2024-04-29,225545.93632087458,224388.9796464744
2024-04-30,226425.9796925342,225198.17914205667
2024-05-01,227050.44947372793,225862.43501224194
2024-05-02,227133.0381378859,225877.53644060993
2024-05-03,229091.5585273629,227779.1170781588
2024-05-06,229275.06638423813,227897.89167379832
2024-05-07,229201.63962527123,227750.2468324623
2024-05-08,229186.59646546753,227752.95129666908
2024-05-09,227950.45425545564,226466.14951546444
2024-05-10,227641.31577000063,226076.72922735725
2024-05-13,227133.97203932563,225553.38635146743
2024-05-14,226826.1899181622,225299.0655006261
2024-05-15,227280.31578528558,225788.51845028924
2024-05-16,228076.27481141442,226466.6957123267
2024-05-17,227995.96702679788,226447.23800112965
2024-05-20,227403.29659204878,225743.72200203722
2024-05-21,226836.26650255197,225047.28076634643
2024-05-22,227448.20639411308,225650.51718544323
2024-05-23,229038.7315153103,227346.95356031947
2024-05-24,227470.98551479314,225966.8299694592
2024-05-28,226832.84472430652,225418.34841414035
2024-05-29,228235.35373578666,226790.38840952632
2024-05-30,229689.80520649088,228228.75644750995
2024-05-31,228390.53910893985,226942.65004577648
2024-06-03,227865.49631582788,226417.23520718273
2024-06-04,227527.91586901236,226070.69876082015
2024-06-05,225937.42481228645,224392.57224607217
2024-06-06,225569.51472612342,224030.71664369386
2024-06-07,225734.85875459167,224226.78107025538
2024-06-10,224310.46159419982,222841.91349401465
2024-06-11,223401.8146240429,221890.140534162
2024-06-12,221944.91566410026,220346.02566433273
2024-06-13,221123.50251122296,219500.90610343555
2024-06-14,220695.58431714296,219103.7610216734
2024-06-17,219153.99027568067,217316.68074378464
2024-06-18,217986.4605918515,216098.23416619923
2024-06-20,218436.68585119993,216947.35206734296
2024-06-21,218989.50748975578,217594.8452833178
2024-06-24,219169.0646951022,217749.78768359512
2024-06-25,219827.31097529252,217853.3737347623
2024-06-26,220076.38828070567,217878.04700803675
2024-06-27,220265.01754080778,217938.1168051128
2024-06-28,220473.44444807313,218172.41627980882
2024-07-01,220898.51527792565,218518.53654904012
2024-07-02,221247.2180884567,218573.60946347774
2024-07-03,221275.83257095,218442.3117904052
2024-07-05,222055.47422857446,218522.5509599783
2024-07-08,222105.84880776546,218422.00218356575
2024-07-09,222260.28124002536,218509.25147001882
2024-07-10,222253.76389510944,218463.71966756097
2024-07-11,222507.76707885435,218741.60569677578
2024-07-12,223388.80019193375,219690.0919574433
2024-07-15,223572.67493934988,219694.83097431136
2024-07-16,223631.73112014422,219744.05344203574
2024-07-17,223713.7291596084,219794.58524378954
2024-07-18,223594.49955156317,219661.30757307133
2024-07-19,224344.8916268782,220450.44016701568
2024-07-22,224586.3389060968,220653.51714697655
2024-07-23,224896.35705709888,220893.23867739426
2024-07-24,221478.43262784375,217777.85049344215
2024-07-25,220835.91297269668,217659.62431739742
2024-07-26,223786.65616787033,219661.36112279602
2024-07-29,224240.9681327535,219953.26849147986
2024-07-30,224012.86169709184,219956.01420186486
2024-07-31,225179.4735695647,221271.11560217425
2024-08-01,223808.46966314942,219339.65304756357
2024-08-02,221899.83312159625,216560.4723417879
2024-08-05,186428.5455438064,182446.63532741554
2024-08-06,208253.52111589216,203074.93799928273
2024-08-07,210926.01575091915,205242.58899814062
2024-08-08,209797.59211865783,205866.88778762444
2024-08-09,216135.88274832905,211221.85406859455
2024-08-12,216201.4178951302,212053.6461949955
2024-08-13,213913.27555572387,211925.353623039
2024-08-14,212451.1762910235,212131.06634017394
2024-08-15,210117.5649049346,212104.47661639992
2024-08-16,209398.61009738885,213411.5067526601
2024-08-19,208963.34452273417,212956.1153150755
2024-08-20,210380.55493434484,213291.30095598847
2024-08-21,209329.1943705862,212490.08237911374
2024-08-22,209101.52278074448,214015.28929713496
2024-08-23,208722.68476885802,211608.02047353773
2024-08-26,209175.91303558563,212304.58658349147
2024-08-27,208879.49193758593,211706.3715479248
2024-08-28,209920.66806896587,212785.23459661574
2024-08-29,209867.68489266414,212619.14236304522
2024-08-30,207923.28368467843,210554.08542718482
2024-09-03,213876.4022734295,218181.47818120354
2024-09-04,213756.80598186626,217871.65199442155
2024-09-05,214173.96829177544,217993.89127682996
2024-09-06,218286.06773145258,218604.29903168726
2024-09-09,215626.84349566547,217968.39777386934
2024-09-10,214770.98871754552,218240.46431861699
2024-09-11,212573.45855336275,219132.80601607982
2024-09-12,209946.60430297995,219908.33052103012
2024-09-13,207764.00360275293,220969.03537889986
2024-09-16,206356.63574296556,221420.68885434637
2024-09-17,206362.657657953,221535.33399595405
2024-09-18,206562.24820355035,222210.89334647838
2024-09-19,204039.00299287314,222428.31081584285
2024-09-20,204742.07053540135,224209.3599279222
2024-09-23,203625.1157281608,224704.4722630515
2024-09-24,203019.7683029467,224975.82932923693
2024-09-25,203393.2862828773,225174.87636993194
2024-09-26,202647.39403608983,225201.31877501705
2024-09-27,202783.99625813426,225683.97713010575
2024-09-30,201637.87585695967,225796.1360049973
2024-10-01,199994.1418865061,225753.79740571376
2024-10-02,201422.20515955682,226026.38346714087
2024-10-03,201840.45376176716,226264.8007309087
2024-10-04,201934.119163493,227336.51170707212
2024-10-07,203986.15032786105,227696.58678658344
2024-10-08,204077.10382904447,228418.64523848848
2024-10-09,203468.85063843871,228718.299641884
2024-10-10,204204.22404743894,229676.60545221873
2024-10-11,203308.76308574132,230677.6178054158
2024-10-14,201375.87199643345,231055.4933603622
2024-10-15,202748.7342434026,231155.14597031625
2024-10-16,201865.09016320755,231482.5157690655
2024-10-17,201732.25464955525,231927.6123845121
2024-10-18,200750.22576121314,232595.8536006987
2024-10-21,200750.46715015502,233185.77844045198
2024-10-22,200795.42616441767,233398.01813357914
2024-10-23,202546.45067129706,233698.8233550226
2024-10-24,202461.23344201036,234049.00525709003
2024-10-25,202434.87528509874,233737.1738880031
2024-10-28,202070.2811018035,234309.85374524753
2024-10-29,202249.8081132546,234001.94302862964
2024-10-30,201123.2155815584,233252.99369184324
2024-10-31,195031.20137755497,227398.44430086028
2024-11-01,198092.82826024087,230344.09586841587
2024-11-04,198550.6801876563,231192.71620398326
2024-11-05,201369.2989322945,234863.6919053221
2024-11-06,205552.12406664283,237469.47720313462
2024-11-07,206589.35674968126,238210.1990368375
2024-11-08,207906.3925665589,241521.07187087653
2024-11-11,208170.07871916328,241681.5418650081
2024-11-12,208308.0959066223,241816.40801815328
2024-11-13,208536.16205342623,242015.15816913368
2024-11-14,208796.07107112158,242356.85745721843
2024-11-15,209096.3720371102,242605.13677194758
2024-11-18,208852.27177556854,242348.33217591414
2024-11-19,208900.07843428527,242395.52164931715
2024-11-20,210001.98727821966,243498.15090180575
2024-11-21,211022.6308698157,244572.577061747
2024-11-22,211825.25740401837,245425.06958845851
2024-11-25,211650.50128010492,246227.7334275131
2024-11-26,210857.29682402257,246560.09833785438
2024-11-27,211486.20744728806,247193.88870021523
2024-11-29,210931.1351497742,247682.17266283208
2024-12-02,210207.87512564813,247496.56407559002
2024-12-03,210111.46364641827,247515.60580595673
2024-12-04,209187.5846451589,247443.82045498956
