date,event,position_key,entry_price,exit_price,quantity,pnl
2020-02-25,early_exit,SPY_322P_20200320,1.4049999999999998,12.815000000000001,4,4564.000000000001
2020-02-25,early_exit,SPY_323P_20200320,1.505,13.440000000000001,4,4774.000000000001
2020-02-25,early_exit,SPY_309P_20200325,4.26,7.23,4,1188.0000000000002
2020-02-25,early_exit,SPY_310P_20200325,4.475,7.59,4,1246.0
2020-02-25,early_exit,SPY_311P_20200325,4.6899999999999995,7.959999999999999,4,1307.9999999999998
2020-02-25,early_exit,SPY_312P_20200325,4.93,8.35,2,684.0
2020-02-26,early_exit,SPY_308P_20200325,4.0600000000000005,7.575,4,1405.9999999999998
2020-03-03,early_exit,SPY_294P_20200401,6.85,9.58,4,1092.0000000000002
2020-04-09,early_exit,SPY_254C_20200501,9.95,28.14,-4,-7276.000000000001
2020-04-13,early_exit,SPY_255C_20200501,9.445,24.740000000000002,-4,-6118.000000000001
2020-04-14,early_exit,SPY_258C_20200501,8.127500000000001,28.66,-8,-16426.0
2020-04-14,early_exit,SPY_257C_20200501,8.48,29.545,-4,-8426.0
2020-04-14,early_exit,SPY_256C_20200501,8.96,30.435,-4,-8590.0
2020-04-17,early_exit,SPY_267C_20200429,11.425,21.96,-4,-4214.0
2020-04-24,early_exit,SPY_271C_20200429,9.33,12.71,-4,-1352.0000000000002
2020-04-24,early_exit,SPY_270C_20200429,9.835,13.615,-4,-1511.9999999999998
2020-04-24,early_exit,SPY_269C_20200429,10.35,14.525,-4,-1670.0000000000002
2020-04-24,early_exit,SPY_268C_20200429,10.89,15.455,-4,-1825.9999999999998
2020-05-18,early_exit,SPY_293C_20200522,4.675,4.535,-2,27.999999999999936
2020-05-20,early_exit,SPY_294C_20200612,3.75,9.07,-4,-2128.0
2020-05-26,early_exit,SPY_297C_20200603,2.9699999999999998,5.545,-4,-1030.0
2020-05-26,early_exit,SPY_296C_20200603,3.33,6.25,-1,-292.0
2020-05-26,early_exit,SPY_295C_20200612,3.375,9.085,-4,-2284.0000000000005
2020-06-03,early_exit,SPY_311C_20200619,2.03,5.855,-4,-1530.0000000000002
2020-06-04,early_exit,SPY_310C_20200626,4.14,6.805,-4,-1066.0
2020-06-05,early_exit,SPY_318C_20200626,1.5350000000000001,6.145,-4,-1843.9999999999998
2020-06-05,early_exit,SPY_317C_20200626,1.76,6.755,-4,-1998.0
2020-06-05,early_exit,SPY_316C_20200626,2.01,7.4,-4,-2156.0
2020-06-05,early_exit,SPY_315C_20200626,2.29,8.065,-4,-2310.0
2020-06-05,early_exit,SPY_314C_20200626,2.6,8.765,-4,-2466.0000000000005
2020-06-05,early_exit,SPY_313C_20200626,2.94,9.485,-4,-2618.0
2020-06-05,early_exit,SPY_312C_20200626,3.31,10.219999999999999,-4,-2763.9999999999995
2020-06-05,early_exit,SPY_311C_20200626,3.715,10.98,-4,-2906.0
2020-07-15,early_exit,SPY_319C_20200729,2.4450000000000003,7.470000000000001,-2,-1005.0000000000001
2020-07-27,early_exit,SPY_328C_20200807,2.88,2.0949999999999998,-4,314.00000000000006
2020-07-27,early_exit,SPY_327C_20200807,3.215,2.51,-4,282.0
2020-07-27,early_exit,SPY_328C_20200812,3.1650000000000005,2.79,-3,112.50000000000013
2020-07-29,early_exit,SPY_330C_20200807,2.285,1.69,-4,238.00000000000009
2020-07-29,early_exit,SPY_329C_20200807,2.57,2.065,-4,201.99999999999994
2020-07-29,early_exit,SPY_330C_20200812,2.545,2.37,-4,69.99999999999993
2020-07-29,early_exit,SPY_329C_20200812,2.8449999999999998,2.79,-4,21.999999999999886
2020-07-30,early_exit,SPY_331C_20200807,2.0300000000000002,1.1549999999999998,-4,350.00000000000017
2020-08-06,early_exit,SPY_339C_20200826,1.135,2.87,-4,-694.0
2020-08-06,early_exit,SPY_338C_20200826,1.315,3.3049999999999997,-4,-795.9999999999999
2020-08-10,early_exit,SPY_341C_20200828,1.15,2.1950000000000003,-4,-418.00000000000017
2020-08-10,early_exit,SPY_345C_20200902,1.105,1.505,-4,-159.99999999999997
2020-08-10,early_exit,SPY_344C_20200902,1.275,1.77,-4,-198.00000000000006
2020-08-10,early_exit,SPY_348C_20200904,0.98,1.12,-4,-56.00000000000005
2020-08-10,early_exit,SPY_347C_20200904,1.125,1.31,-4,-74.00000000000003
2020-08-10,early_exit,SPY_346C_20200904,1.295,1.525,-4,-92.0
2020-08-10,early_exit,SPY_345C_20200904,1.4849999999999999,1.78,-4,-118.00000000000006
