date,equity,cash,num_positions
2020-02-14,500000.0,500000.0,0
2020-02-18,500000.0,500000.0,0
2020-02-19,499874.69968527136,708069.5133885744,12
2020-02-20,499823.78841792524,692323.5885846588,12
2020-02-21,500294.02234867436,679196.0816113155,12
2020-02-24,497440.066444524,849262.2849492908,16
2020-02-25,494484.82852364803,768270.8873899791,13
2020-02-26,493901.3514207784,875955.8148554305,16
2020-02-27,509826.7022543452,1225362.7765949802,16
2020-02-28,499746.99295036995,1259409.672294867,16
2020-03-02,477296.3603865946,913808.4623136693,16
2020-03-03,469783.06364090677,674447.8987436383,11
2020-03-04,469679.76589088223,672392.1257917708,14
2020-03-05,465997.8131298318,744443.7223166636,14
2020-03-06,466685.9626748191,806505.5895995261,14
2020-03-09,461269.50599666184,712859.213105757,15
2020-03-10,459800.0890526368,705458.583502711,18
2020-03-11,453360.9580116876,882572.6033916757,18
2020-03-12,431373.61620065355,521658.5305395671,11
2020-03-13,424494.396492951,477408.0160645485,11
2020-03-16,429051.6846482471,520001.8666512511,16
2020-03-17,428337.88370525156,424282.9205659458,16
2020-03-18,427026.1465976543,530441.4400811546,18
2020-03-19,433143.69506180164,525634.9205938696,18
2020-03-20,440980.3956732792,537963.5134650032,5
2020-03-23,441918.6214416649,440910.6214416649,2
2020-03-24,441918.6214416649,440910.6214416649,2
2020-03-25,441918.6214416649,440910.6214416649,2
2020-03-26,441918.6214416649,440910.6214416649,2
2020-03-27,441918.6214416649,440910.6214416649,2
2020-03-30,441844.10631060443,591370.3684319645,7
2020-03-31,443482.23920937674,612828.3858978954,7
2020-04-01,441560.89643634256,948470.3475268622,14
2020-04-02,448125.8161756832,498071.9605730777,5
2020-04-03,447995.9122745361,447995.9122745361,0
2020-04-06,447995.9122745361,447995.9122745361,0
2020-04-07,447995.9122745361,447995.9122745361,0
2020-04-08,447995.9122745361,447995.9122745361,0
2020-04-09,447995.9122745361,447995.9122745361,0
2020-04-13,447962.46631828696,512654.37881641695,3
2020-04-14,448351.838015545,489169.17384915584,3
2020-04-15,447636.01689931465,569622.7657389663,5
2020-04-16,447981.8893437584,560054.9226164611,5
2020-04-17,448597.3085915421,518835.8798390777,5
2020-04-20,446737.61114702607,760747.1521872412,11
2020-04-21,446238.32513528195,905078.0841075862,11
2020-04-22,447584.8135701093,790437.4299726881,11
2020-04-23,448437.5937348305,786999.56483469,11
2020-04-24,454377.41230816266,718120.6320296093,11
2020-04-27,456801.5241777912,642872.2905394863,11
2020-04-28,457735.8385555147,654568.9537688759,11
2020-04-29,457949.1347197993,562503.1355863329,11
2020-04-30,455801.1025997305,582457.5423165653,11
2020-05-01,453340.1787452713,675734.0274114198,11
2020-05-04,456511.96624946047,677795.1154908126,13
2020-05-05,458923.1274883037,626189.6848875858,13
2020-05-06,459095.2887418907,646718.8314803094,13
2020-05-07,461830.2278872003,587393.0811022246,13
2020-05-08,462901.01687229384,531537.1334026625,13
2020-05-11,463510.86202411354,540279.2333503226,14
2020-05-12,461656.53553813614,569716.2857446898,14
2020-05-13,462214.7609795709,680897.200311878,14
2020-05-14,463834.3561421026,612003.6137748358,14
2020-05-15,464376.82030345104,583048.3396792625,12
2020-05-18,464226.2429993244,524506.0195404164,12
2020-05-19,464214.1968418057,524905.6438386048,12
2020-05-20,465854.31461608375,519751.9355749875,6
2020-05-21,465634.3781077832,488357.54401768214,5
2020-05-22,466157.6188205109,485308.4279907667,5
2020-05-26,466445.6245069569,473779.38267675176,5
2020-05-27,466450.3274069608,554265.6492755006,8
2020-05-28,466534.67527343566,555959.3458350891,8
2020-05-29,467137.54901372426,545786.2353326108,8
2020-06-01,467025.61592311924,651720.3567202776,12
2020-06-02,468071.5916296153,628801.4748136065,13
2020-06-03,469083.00624581357,578578.1750535622,11
2020-06-04,469228.6365693689,582803.3184052582,11
2020-06-05,469748.323420646,518002.0630076809,11
2020-06-08,469981.7384525401,494547.6703308537,11
2020-06-09,469158.0266039767,500000.4500030873,11
2020-06-10,469030.94109647046,540092.8520902422,13
2020-06-11,452915.1077459626,788949.8213445264,13
2020-06-12,455873.6905968741,626045.1357325497,9
2020-06-15,459462.35977758956,628481.4767035624,11
2020-06-16,460243.4599780122,548923.7288265607,11
2020-06-17,461251.7418675103,579101.381388661,12
2020-06-18,462215.42214635864,571349.8532130348,12
2020-06-19,460352.15428358107,600726.7391272805,12
2020-06-22,466584.0440873852,563320.1889233115,13
2020-06-23,466975.34756290156,545424.023927867,13
2020-06-24,465383.7506639258,628857.6534952275,13
2020-06-25,466336.9111887585,573992.3149141236,13
2020-06-26,465316.24762489996,685707.0648310441,10
2020-06-29,466834.77587237663,627068.6826448701,12
2020-06-30,467256.9704956929,580776.5936875492,12
2020-07-01,468876.7088730555,558843.4198124617,8
2020-07-02,469636.84176762495,542306.9964723893,7
2020-07-06,469738.8213972461,556682.3213705664,9
2020-07-07,469136.23751011817,579729.529346661,9
2020-07-08,470151.41356201575,653145.4896567801,13
2020-07-09,469284.2968507707,674369.5480625551,13
2020-07-10,471128.15390715393,622126.0776342917,13
2020-07-13,469158.3368123622,642776.6362478614,13
2020-07-14,470568.00250535866,586468.0358183816,13
2020-07-15,472395.1860537615,598530.4716547832,13
2020-07-16,471972.4753748803,606269.7195244724,13
2020-07-17,474496.0310537901,589990.5572653187,12
2020-07-20,476086.25789160037,570592.6117213548,13
2020-07-21,476047.9366015104,558578.8909835889,13
2020-07-22,476743.6642504884,543222.166160983,13
2020-07-23,475700.28092258796,575153.2418496901,13
2020-07-24,476257.8943669985,594578.2430806615,13
2020-07-27,477985.33195577946,548133.9174491758,13
2020-07-28,477887.0438805371,562586.6784236898,13
2020-07-29,478784.5635527482,551508.8238503886,13
2020-07-30,478906.210607872,557416.677125444,13
2020-07-31,479354.17477197945,530334.0621553243,13
2020-08-03,480069.95190072194,507879.22096183995,13
2020-08-04,480435.07855907775,500635.97168558836,13
2020-08-05,480913.35508316016,526844.5586672275,13
2020-08-06,481432.63253187167,513254.67883374507,13
2020-08-07,481944.40895695693,510401.43169668166,9
2020-08-10,482322.19754110277,560844.2729015476,13
2020-08-11,481185.3395287569,586977.9474573333,13
2020-08-12,482495.9863688277,539088.2526345064,13
2020-08-13,482780.1483637408,540932.9697319011,13
2020-08-14,483153.14378557453,538070.5318058822,11
2020-08-17,484507.36515326664,554478.2455853816,13
2020-08-18,484723.1069354987,544625.0420112257,13
2020-08-19,484390.54533803184,571186.7852505952,13
2020-08-20,484853.1285947916,555987.8564231131,13
2020-08-21,485546.3371527995,541507.6376000781,12
2020-08-24,486650.21161227365,516217.2974777231,13
2020-08-25,487287.28399690974,509196.2384636722,13
2020-08-26,487473.0083033128,498847.36682527093,13
2020-08-27,487578.7601628707,496648.9808454202,13
2020-08-28,488480.21454160486,493558.1866636223,11
2020-08-31,488099.6136561485,534959.7036557193,13
2020-09-01,488545.6636261145,522216.38914374256,13
2020-09-02,488909.33856208785,508827.46831927006,13
2020-09-03,485175.3287764052,547091.3232623978,13
2020-09-04,485369.65098195826,561123.8366176274,11
2020-09-08,484818.5631893391,634732.3605510117,11
2020-09-09,486529.65851304494,637402.4161493131,9
2020-09-10,485162.9696862297,714067.8720168222,9
2020-09-11,486715.0649766745,706680.1936070315,9
2020-09-14,488444.7525757471,707677.2919675407,11
2020-09-15,489356.7075386276,676541.0603379675,11
2020-09-16,489597.9659900146,772434.0685909626,12
2020-09-17,489934.56135048287,839093.623487565,12
2020-09-18,492670.88302405784,721896.5533302653,6
2020-09-21,492112.302354692,806892.0387067794,7
2020-09-22,491832.1211831582,744435.9887853598,7
2020-09-23,491069.9554122112,901502.9378529745,12
2020-09-24,491503.61212467856,749474.1584166331,10
2020-09-25,492956.7420267896,657889.3026856267,10
2020-09-28,494342.53354850534,580089.195271776,10
2020-09-29,494404.85389243683,593357.360242526,10
