date,equity,cash,num_positions
2020-02-14,500000.0,500000.0,0
2020-02-18,500000.0,500000.0,0
2020-02-19,499849.74731175735,753345.4365601905,12
2020-02-20,500188.1680410713,722405.5919214659,12
2020-02-21,501526.5210058032,670040.1904070687,12
2020-02-24,502920.4070327194,776249.3661084241,17
2020-02-25,500677.7500123129,549631.2073284693,11
2020-02-26,500506.6935151041,565099.2158793772,12
2020-02-27,503474.2447267351,523825.84021464,12
2020-02-28,502802.23055285553,520460.9754286597,12
2020-03-02,501989.69121217215,723655.5744351754,17
2020-03-03,505773.9483448054,611385.0657986266,16
2020-03-04,504784.2916772667,827797.1609187934,18
2020-03-05,512424.7362985932,689426.0548349017,18
2020-03-06,515407.00246356317,635538.1566986404,18
2020-03-09,525129.26703154,531070.8113683912,18
2020-03-10,524543.7320322574,566576.7935264704,18
2020-03-11,526819.9903115744,530475.3855064062,18
2020-03-12,527647.2021331717,522715.8718730455,18
2020-03-13,527637.1828304441,525712.1832381914,18
2020-03-16,527975.6714134833,522947.6341629381,18
2020-03-17,527975.4916006905,522987.30998274504,18
2020-03-18,527977.6397548497,522947.5587649156,18
2020-03-19,527977.6378019743,522947.5587649156,18
2020-03-20,527323.6826419744,522947.5587649156,9
2020-03-23,527323.7050428682,522947.5587649156,9
2020-03-24,527323.6276928659,522947.5587649156,9
2020-03-25,527323.613754549,522947.5587649156,9
2020-03-26,527323.5585755805,522947.5587649156,9
2020-03-27,526139.5883668773,522947.5587649156,7
2020-03-30,525996.3881042465,765620.4796873897,12
2020-03-31,522105.8667098327,751969.5114412964,12
2020-04-01,524307.6873682928,932611.7253181267,12
2020-04-02,519017.40455979283,967990.1797931324,12
2020-04-03,515086.1063078547,941320.8058746628,10
2020-04-06,514670.84215620684,1082393.6721142663,12
2020-04-07,515830.1870478996,1083765.4853802708,12
2020-04-08,516899.1923880613,1155365.4120108753,12
2020-04-09,519168.82311589736,1189562.4429648323,12
2020-04-13,515488.20898952114,1108791.6039450613,11
2020-04-14,518196.2422790263,890759.1529837875,8
2020-04-15,515696.67242596747,912462.1948877876,9
2020-04-16,515058.79770850384,921380.4464007174,9
2020-04-17,517456.1988325922,897474.2035798385,8
2020-04-20,514668.3207096088,928644.1210728665,9
2020-04-21,516071.9727624219,871780.4764207278,9
2020-04-22,513395.72965194774,1018111.8133444276,11
2020-04-23,510581.480260864,1020266.4004762319,11
2020-04-24,509048.29853935883,763927.7783395824,7
2020-04-27,506751.8214380647,997570.8255550669,12
2020-04-28,508396.0874145393,935822.362535575,11
2020-04-29,506258.9786856255,1033808.0299967775,12
2020-04-30,505859.330719615,1011700.2307766221,12
2020-05-01,510597.46227868035,950253.4747156734,12
2020-05-04,507696.5914682075,994482.233656204,13
2020-05-05,505092.79310106277,1016257.7782973611,13
2020-05-06,505554.0132161961,993689.5597483321,12
2020-05-07,502552.6151886787,1023919.4394212723,12
2020-05-08,498256.99268683896,1070529.4996256973,12
2020-05-11,495539.11527762085,1063526.05499068,12
2020-05-12,500729.90071301325,988852.8914890668,12
2020-05-13,506419.789995353,916615.4709875587,12
2020-05-14,502138.7253719869,946996.3913006892,12
2020-05-15,499178.034812278,916159.1543858899,11
2020-05-18,494604.2750050322,1060370.1745404475,13
2020-05-19,496437.3579256375,1000620.1443708172,13
2020-05-20,492686.21884426556,1021449.2285087876,12
2020-05-21,492153.2586676958,983544.3632826121,12
2020-05-22,491066.98696467176,986047.1943050767,12
2020-05-26,488109.9904447067,965801.4411581677,11
2020-05-27,487735.5458580665,754669.9073764822,6
2020-05-28,488287.5683295593,741933.1221241325,6
2020-05-29,487765.094969311,651426.5563316381,4
2020-06-01,486619.783452708,941095.911643107,11
2020-06-02,484454.0075384156,983257.6611863169,11
2020-06-03,483938.9598337202,847258.1376906137,8
2020-06-04,483936.37233328266,835421.9271906441,8
2020-06-05,484121.27564699366,676795.3378210057,4
2020-06-08,484428.9976918973,958229.7527703465,12
2020-06-09,486728.96297260874,844275.0076542291,11
2020-06-10,486525.86115380237,917081.527112544,14
2020-06-11,510001.7775137883,632107.416416584,14
2020-06-12,506315.69568078575,665647.0143141819,14
2020-06-15,503715.00369374,718876.668347926,15
2020-06-16,502450.0626954681,814002.9412597546,15
2020-06-17,501917.9536790679,901687.5122943695,18
2020-06-18,500181.7175153525,893694.2314961265,18
2020-06-19,501888.592924881,814061.7288304103,18
2020-06-22,500142.593091724,879039.6832339832,20
2020-06-23,498217.24877463916,901114.7442699794,20
2020-06-24,505678.1705585669,722386.4513668081,20
2020-06-25,503273.6731804775,767934.9260476239,20
2020-06-26,508192.88996052614,646551.7259837007,20
2020-06-29,506158.22870592657,688250.370837128,21
2020-06-30,504373.41086515423,737129.9670803519,21
2020-07-01,502811.54313240433,761404.5266465571,21
2020-07-02,501561.34863843425,777867.2059879908,21
2020-07-06,499158.41456159006,790764.7963479422,21
2020-07-07,500312.2761686139,716675.4528404629,21
2020-07-08,498074.21802448283,961344.0026279223,16
2020-07-09,498527.58488055685,907060.8113629568,16
2020-07-10,496494.9313286436,974997.4133589242,13
2020-07-13,498970.103757878,853633.8920277577,13
2020-07-14,495881.789192594,949628.2223722821,13
2020-07-15,494338.71804324025,986644.4440197787,12
2020-07-16,492629.9712592723,916978.7805692874,12
2020-07-17,490765.556878158,858306.8699480037,9
2020-07-20,489568.19388827216,991806.1883050473,12
2020-07-21,489065.9723408829,1004254.963804954,12
2020-07-22,486589.8704294058,945341.8851400658,10
2020-07-23,488174.40183812473,872089.4725268299,10
2020-07-24,488123.1551307776,830264.9897878,10
2020-07-27,486008.35744157707,808529.3956905843,10
2020-07-28,486899.04192114784,764721.307044429,10
2020-07-29,485176.61901318416,756928.3711622055,9
2020-07-30,485974.8686819573,689496.961790825,8
2020-07-31,484345.4250832008,720115.2990979655,8
2020-08-03,483422.2833008122,798280.9695147537,10
2020-08-04,482490.84860142844,818917.2666030338,10
2020-08-05,480719.21918102243,986737.1968647391,14
2020-08-06,480248.4129025802,886647.6310288764,11
2020-08-07,479341.21266651567,887557.8981885052,11
2020-08-10,477342.9399944979,737671.5913134214,10
2020-08-11,476636.8383396483,737675.9766405498,9
2020-08-12,477181.7460686976,675382.9483068729,11
2020-08-13,477794.51278046996,682586.0142100492,11
2020-08-14,477948.3996808733,676873.5255145277,11
2020-08-17,480387.9940035175,637846.8724604853,11
2020-08-18,480635.434560988,618331.8847542367,11
2020-08-19,480279.3672331299,637951.0244547194,11
2020-08-20,480749.0636156512,611642.7097483901,11
2020-08-21,481443.5389492382,585401.5129833836,11
2020-08-24,482626.8301862491,527806.0277497143,11
2020-08-25,483394.4877348481,514606.40835845825,11
2020-08-26,483578.6387016024,496668.0229253908,11
2020-08-27,483763.40496000706,492861.29755212576,11
2020-08-28,484885.26518173236,488575.71750344906,11
2020-08-31,484703.1289226185,491832.958179375,12
2020-09-01,485090.3042097357,489395.82483520044,12
2020-09-02,485243.43159049214,487730.1517097418,12
2020-09-03,483438.9011080797,493042.55624775327,12
2020-09-04,483624.24307402264,495261.22578483564,12
2020-09-08,483707.83602783555,503478.5607052939,12
2020-09-09,485534.8163641248,495188.2525463736,4
2020-09-10,485466.2126316536,485609.0448280271,3
2020-09-11,485608.7124625329,485609.0448280271,1
2020-09-14,485588.1128280455,520189.55776472774,2
2020-09-15,485518.7847795609,522921.1876326289,2
2020-09-16,485365.47159712214,715533.5964839,7
2020-09-17,485991.5549505692,679042.8154466784,7
2020-09-18,487863.7604177407,624245.4929143552,7
2020-09-21,488552.86346891103,582439.1008921778,7
2020-09-22,487681.30575245933,605609.7793179492,7
2020-09-23,489706.48357939906,547468.3162534192,7
2020-09-24,489578.48331930954,548580.1104238371,7
2020-09-25,488715.4172328205,580059.8470419187,7
2020-09-28,488025.6582575134,653088.7338550905,8
2020-09-29,488531.89935204876,625192.0266898145,8
