date,event,pnl,num_expired
2023-03-08,expiry,103.50000000000001,1
2023-03-22,expiry,213.0,1
2023-03-24,expiry,1097.0,2
2023-04-05,expiry,252.5,1
2023-04-07,expiry,158.5,1
2023-04-21,expiry,1015.0,3
2023-05-05,expiry,404.5,2
2023-05-19,expiry,397.49999999999994,1
2023-06-02,expiry,321.0,2
2023-06-09,expiry,240.00000000000003,1
2023-06-16,expiry,573.5,2
2023-06-23,expiry,55.50000000000001,1
2023-06-30,expiry,-26.0,2
2023-07-07,expiry,38.5,1
2023-07-14,expiry,150.5,2
2023-07-21,expiry,48.5,1
2023-07-28,expiry,170.0,2
2023-08-04,expiry,43.5,1
2023-08-11,expiry,159.0,2
2023-08-18,expiry,92.5,1
2023-08-25,expiry,196.0,2
2023-09-01,expiry,94.5,1
2023-09-08,expiry,233.5,2
2023-09-15,expiry,43.5,1
2023-09-22,expiry,275.5,2
2023-09-29,expiry,51.5,1
2023-10-06,expiry,275.0,2
2023-10-13,expiry,97.5,1
2023-10-20,expiry,300.0,2
2023-10-27,expiry,-206.500732421875,1
2023-11-03,expiry,383.5,2
2023-11-10,expiry,162.0,1
2023-11-17,expiry,390.49999999999994,3
2023-12-01,expiry,-161.5,2
2023-12-08,expiry,147.501220703125,1
2023-12-15,expiry,25.9986572265625,2
2023-12-22,expiry,44.5,1
2023-12-29,expiry,-21.999999999999996,2
2024-01-05,expiry,40.5,1
2024-01-12,expiry,123.0,2
2024-01-19,expiry,35.5,1
2024-01-26,expiry,131.5,2
2024-02-02,expiry,47.5,1
2024-02-09,expiry,163.5,2
2024-02-16,expiry,53.5,1
2024-02-23,expiry,149.0,2
2024-03-01,expiry,57.49999999999999,1
2024-03-08,expiry,149.0,2
2024-03-15,expiry,38.5,1
2024-03-22,expiry,225.5,2
2024-03-29,expiry,59.5,1
2024-04-05,expiry,203.5,2
2024-04-12,expiry,45.5,1
2024-04-19,expiry,-554.999267578125,2
2024-04-26,expiry,115.49999999999999,1
2024-05-03,expiry,373.5,2
2024-05-10,expiry,67.5,1
2024-05-17,expiry,342.0,2
2024-05-31,expiry,84.00000000000003,2
2024-06-07,expiry,-75.0,1
2024-06-14,expiry,-7.0,2
2024-06-21,expiry,47.5,1
2024-06-28,expiry,205.5,2
2024-07-05,expiry,35.5,1
2024-07-12,expiry,181.5,2
2024-07-19,expiry,36.5,1
2024-07-26,expiry,149.5,2
2024-08-12,expiry,-66.998046875,3
2024-08-23,expiry,275.0,1
2024-08-26,expiry,1158.497802734375,2
2024-09-06,expiry,-166.0,2
2024-09-09,expiry,-30.5,1
2024-09-20,expiry,762.0,3
2024-09-23,expiry,145.5,1
2024-10-04,expiry,72.0,2
2024-10-07,expiry,-19.5,1
2024-10-18,expiry,533.5,3
2024-11-01,expiry,391.0,2
2024-11-15,expiry,1077.5,3
2024-11-29,expiry,502.0,3
2024-12-13,expiry,289.0,2
2024-12-27,expiry,178.0,3
