date,historical_equity,vol_surface_equity
2023-01-20,99988.83208127874,99994.62635173276
2023-01-23,100096.47197703505,100001.65107492368
2023-01-24,100106.82808147086,100002.87787541217
2023-01-25,100108.31878095999,99992.15151948562
2023-01-26,99991.17709375313,99945.92168710678
2023-01-27,100012.07513593073,99940.73357804074
2023-01-30,100145.54060106889,100002.31502579882
2023-01-31,100296.68192934632,100065.44980358533
2023-02-01,100181.26222817015,99975.03609804087
2023-02-02,100335.69610172763,100081.34440199005
2023-02-03,100575.33007176571,100373.06902304773
2023-02-06,100507.0638992365,100340.22328239417
2023-02-07,100364.29948130948,100224.57328595428
2023-02-08,100243.04569230431,100148.71895372115
2023-02-09,100334.29017381955,100213.29660950309
2023-02-10,100357.07657007096,100227.54268745566
2023-02-13,100229.27657295737,100137.31635802536
2023-02-14,100222.12688147833,100132.5368576023
2023-02-15,100184.80873341807,100106.5263398012
2023-02-16,100033.10401784244,100001.31805217425
2023-02-17,100708.67163533476,100022.05467144621
2023-02-20,100705.00196815706,100020.9883267542
2023-02-21,100950.88942866471,100102.62873981595
2023-02-22,100933.30614779909,100092.5790745578
2023-02-23,100870.05461679379,100067.14252342167
2023-02-24,100764.22443469273,99953.34101965002
2023-02-27,100726.37054720162,99930.68123124995
2023-02-28,100688.99751845063,99896.12293480041
2023-03-01,100727.66824111505,99919.54163944937
2023-03-02,100804.07526440638,99983.01683945426
2023-03-03,100685.59269257501,99932.52856664499
2023-03-06,100692.21461120273,99937.76694743203
2023-03-07,100850.70745393564,100093.63348511406
2023-03-08,100864.9328923358,100108.47886513674
2023-03-09,101056.26664761263,100291.69737283021
2023-03-10,100914.55159500624,100160.41126258964
2023-03-13,100926.35998269194,100171.8154565718
2023-03-14,101083.39723996524,100322.55962840625
2023-03-15,101142.58105238994,100380.11506610362
2023-03-16,101311.07728150237,100543.64937930848
2023-03-17,102067.31348519234,100471.00197619878
2023-03-20,102159.61308095409,100519.95308975164
2023-03-21,102027.6407965627,99763.06527402312
2023-03-22,101854.84306168598,99352.78908172793
2023-03-23,101826.23246845476,99189.94808479823
2023-03-24,101914.08157864153,99277.8546125216
2023-03-27,101892.49878792497,99172.8836138027
2023-03-28,101868.14415789621,99108.67965659467
2023-03-29,101721.67880397818,98162.7335074899
2023-03-30,101778.7092864894,98279.68569599403
2023-03-31,101803.71073791725,97826.36098960563
2023-04-03,101840.85386324298,97900.1404098905
2023-04-04,101896.08194397674,98196.83380526598
2023-04-05,101867.1402399314,98116.23236276126
2023-04-06,101825.13726375731,97890.49349032278
2023-04-07,101823.0807843438,97881.95858667731
2023-04-10,101810.47069870436,97822.00241473589
2023-04-11,101811.17665996289,97822.37863261388
2023-04-12,101851.08271217374,97990.44128982548
2023-04-13,101985.22962175096,98295.07696552713
2023-04-14,102335.53120834903,98385.48394856829
2023-04-17,102370.66936635147,98500.04430788467
2023-04-18,102361.79935404392,98460.60686917859
2023-04-19,102357.95697903297,98446.2191952501
2023-04-20,102412.69881074732,98671.76308112951
2023-04-21,102507.67365983545,98667.77561466885
2023-04-24,102494.78937338834,98617.56887650784
2023-04-25,102328.0250777243,97974.59443533434
2023-04-26,102369.22966152643,98134.74160355114
2023-04-27,102569.60084761339,98896.92365391718
2023-04-28,102513.02258957419,98709.48390358398
2023-05-01,102499.87122802266,98668.02544425285
2023-05-02,102615.20163467077,99046.04532218922
2023-05-03,102542.23221665803,98862.68152862028
2023-05-04,102612.84481848785,99078.84746858935
2023-05-05,102799.38358724445,99488.020320934
2023-05-08,102794.54318140204,99474.24968322887
2023-05-09,102746.95801294819,99363.75151592164
2023-05-10,102696.61575845923,99206.53734381997
2023-05-11,102676.43632954125,99157.1043573707
2023-05-12,102729.9415451726,99147.78896102586
2023-05-15,102769.07585756948,99229.40290602266
2023-05-16,102836.39519460684,99417.44364973852
2023-05-17,102959.04695761512,99715.33577848687
2023-05-18,102856.38498970233,99410.61077965063
2023-05-19,102981.93884150895,99421.77161112594
2023-05-22,102975.55927745433,99403.50140756226
2023-05-23,102855.2856099289,99057.647815405
2023-05-24,102928.63146813182,99262.80789208047
2023-05-25,103016.07203639465,99508.31695645598
2023-05-26,102878.97107108828,99115.62209979912
2023-05-29,102876.85898832559,99109.52456895921
2023-05-30,102870.72399017226,99092.00384088406
2023-05-31,102810.0290760294,98916.76880340681
2023-06-01,102708.11157108449,98645.00313501629
2023-06-02,103004.3607259683,98982.42925648509
2023-06-05,103022.82602490971,99042.97528719524
2023-06-06,103044.06076088997,99129.42552970684
2023-06-07,103079.11970250114,99253.88455020048
2023-06-08,103141.8430789991,99520.99068635501
2023-06-09,103132.32568011747,99452.92514750591
2023-06-12,103228.21983596506,99891.29909077808
2023-06-13,103154.13028312422,99658.15782054378
2023-06-14,103165.00839739968,99708.35355700832
2023-06-15,103026.5369005013,99706.39979907131
2023-06-16,103154.17847507732,99490.57456059378
2023-06-19,103152.86848313716,99489.05528512519
2023-06-20,103138.89051903001,99418.31350538021
2023-06-21,103194.50472693588,99416.8080267493
2023-06-22,103211.19197871562,99448.44939220192
2023-06-23,103322.62084141678,99376.62350006856
2023-06-26,103301.5592442578,99324.18068703492
2023-06-27,103207.06264388064,99225.05181333343
2023-06-28,103208.30397777152,99228.37625234367
2023-06-29,103178.02999378131,99166.23850439311
2023-06-30,103428.4030869305,98943.8819490849
2023-07-03,103418.7726794123,98921.20675724812
2023-07-05,103406.90495324881,98916.33568666496
2023-07-06,103462.83310396431,99051.42173103003
2023-07-07,103443.8265353443,99003.69997694744
2023-07-10,103424.81907958021,98958.90446621279
2023-07-11,103467.86062929647,99075.25802610436
2023-07-12,103409.95743712461,98974.08041342392
2023-07-13,103464.72327809104,99204.56692729208
2023-07-14,103765.24004192362,99173.31325723101
2023-07-17,103788.57185852576,99275.85273311869
2023-07-18,103733.97472754675,99318.7802221634
2023-07-19,103748.56240240097,99448.07855966798
2023-07-20,103795.04664249797,99660.0275510443
2023-07-21,103879.61138198216,99789.34796087534
2023-07-24,103846.11749081782,99644.46729855124
2023-07-25,103864.35502876005,99798.60456244808
2023-07-26,103861.79837253269,99784.68957386889
2023-07-27,103812.42345580901,99488.66651563116
2023-07-28,103802.6807241313,99530.44837848582
2023-07-31,103814.53763739503,99606.004749415
2023-08-01,103833.87482850504,99653.11207243982
2023-08-02,103731.6484282608,99373.22347349083
2023-08-03,103750.69269816311,99424.82612734904
2023-08-04,103717.05103323673,99462.69818434476
2023-08-07,103653.73813689251,99299.97640744799
2023-08-08,103621.20158457458,99214.05928222535
2023-08-09,103667.3885785128,99335.57466017484
2023-08-10,103668.51305842427,99338.55322617084
2023-08-11,103696.22417291327,99445.57164087213
2023-08-14,103733.8508248196,99544.05875402581
2023-08-15,103815.2717971029,99754.49241157027
2023-08-16,103762.2870425342,99627.15168239296
2023-08-17,103814.05770878546,99761.53035287939
2023-08-18,103931.00554463005,99987.46915396034
2023-08-21,103892.04801754058,99870.81352715282
2023-08-22,103871.76763121755,99809.84772930847
2023-08-23,103792.42900149123,99680.40342799702
2023-08-24,103693.578437243,99477.12006702067
2023-08-25,103657.31091780888,99481.60727479831
2023-08-28,103709.69312016081,99569.2491329531
2023-08-29,103606.71693939425,99642.84971771562
2023-08-30,103634.15170465999,99744.91644631588
2023-08-31,103643.19471671165,99748.23787119085
2023-09-01,103749.09638930227,99889.72594393759
2023-09-04,103747.16427145508,99886.24724953879
2023-09-05,103714.7845786587,99799.7143774212
2023-09-06,103760.78724075777,99889.82078099254
2023-09-07,103737.62845652117,99830.90869036737
2023-09-08,103725.08353083869,99819.05906716555
2023-09-11,103770.17020231421,99926.58172037007
2023-09-12,103807.78844186015,100005.97064635468
2023-09-13,103814.62577428498,100032.040413447
2023-09-14,103752.10765876308,99897.6273321994
2023-09-15,103804.24231066614,99681.3370939748
2023-09-18,103798.71771554061,99672.87348609949
2023-09-19,103782.74354907095,99701.01781674917
2023-09-20,103845.90272852233,99760.75722212094
2023-09-21,103730.97886097974,99904.76853198805
2023-09-22,103745.01220100604,99955.70453449374
2023-09-25,103772.27867460623,99936.97731873314
