date,event,pnl,num_expired
2023-02-03,expiry,127.0,4
2023-02-17,expiry,290.5,7
2023-03-03,expiry,28.0,2
2023-03-17,expiry,975.5,12
2023-03-24,expiry,25.000000000000004,2
2023-03-31,expiry,173.0,6
2023-04-14,expiry,331.0,8
2023-04-21,expiry,115.0,4
2023-04-28,expiry,26.0,2
2023-05-12,expiry,39.5,3
2023-05-19,expiry,146.5,7
2023-06-02,expiry,148.5,7
2023-06-09,expiry,12.5,1
2023-06-16,expiry,223.5,10
2023-06-30,expiry,184.5,7
2023-07-14,expiry,301.0,7
2023-07-21,expiry,88.0,4
2023-07-28,expiry,55.0,4
2023-08-11,expiry,26.0,2
2023-08-18,expiry,103.0,6
2023-08-25,expiry,11.5,1
2023-09-01,expiry,95.0,6
2023-09-15,expiry,200.5,8
2023-09-29,expiry,108.5,7
2023-10-13,expiry,135.5,5
2023-10-20,expiry,177.5,6
2023-10-27,expiry,68.5,5
2023-11-03,expiry,37.5,3
2023-11-10,expiry,61.0,4
2023-11-17,expiry,206.0,8
2023-11-24,expiry,71.0,4
2023-12-01,expiry,26.0,2
2023-12-08,expiry,11.5,1
2023-12-15,expiry,161.5,7
2023-12-22,expiry,11.5,1
2023-12-29,expiry,138.5,9
2024-01-12,expiry,126.0,8
2024-01-19,expiry,48.5,3
2024-01-26,expiry,188.5,8
2024-01-31,expiry,12.5,1
2024-02-09,expiry,222.0,6
2024-02-16,expiry,25.0,2
2024-02-23,expiry,115.0,6
2024-03-01,expiry,34.5,3
2024-03-08,expiry,23.0,2
2024-03-15,expiry,64.0,4
2024-03-22,expiry,42.5,3
2024-03-29,expiry,90.0,6
2024-04-05,expiry,13.5,1
2024-04-12,expiry,78.5,5
2024-04-19,expiry,97.0,6
2024-04-26,expiry,99.5,6
2024-05-01,expiry,84.5,2
2024-05-03,expiry,38.5,3
2024-05-10,expiry,33.5,2
2024-05-17,expiry,63.0,4
2024-05-24,expiry,42.5,3
2024-05-31,expiry,56.5,3
2024-06-14,expiry,66.0,4
2024-06-21,expiry,78.0,4
2024-06-28,expiry,142.5,9
2024-07-12,expiry,24.0,2
2024-07-19,expiry,57.0,4
2024-07-26,expiry,47.5,3
2024-08-12,expiry,53.0,4
2024-08-16,expiry,215.0,9
2024-08-30,expiry,111.5,7
2024-09-06,expiry,77.0,3
2024-09-13,expiry,148.5,7
2024-09-20,expiry,98.5,4
2024-09-27,expiry,176.0,8
2024-09-30,expiry,70.5,3
2024-10-04,expiry,36.5,3
2024-10-11,expiry,201.0,10
2024-10-18,expiry,129.5,5
2024-10-25,expiry,237.0,8
2024-11-01,expiry,44.5,3
2024-11-08,expiry,313.0,5
2024-11-15,expiry,309.5,4
2024-11-18,expiry,78.0,2
2024-11-22,expiry,230.5,6
2024-11-29,expiry,379.5,8
2024-12-06,expiry,90.0,4
2024-12-13,expiry,81.0,3
2024-12-20,expiry,297.5,7
2024-12-27,expiry,148.5,5
2025-01-03,expiry,138.5,6
2025-01-10,expiry,82.0,4
2025-01-17,expiry,431.5,7
2025-01-24,expiry,147.0,6
2025-01-31,expiry,166.0,8
2025-02-07,expiry,65.5,3
2025-02-14,expiry,187.5,5
2025-02-21,expiry,228.0,6
2025-02-28,expiry,125.5,5
2025-03-07,expiry,161.0,5
2025-03-10,expiry,19.5,1
2025-03-14,expiry,208.5,7
2025-03-21,expiry,275.5,7
2025-03-28,expiry,167.0,5
2025-03-31,expiry,87.5,2
2025-04-04,expiry,177.0,5
2025-04-11,expiry,190.0,6
2025-04-17,expiry,1295.5,8
2025-04-25,expiry,832.0,6
2025-04-30,expiry,43.50000000000001,5
2025-05-02,expiry,325.0,1
2025-05-09,expiry,521.5,3
2025-05-13,expiry,15.5,1
2025-05-16,expiry,4150.003662109375,6
2025-05-23,expiry,23.0,2
2025-05-30,expiry,-44.500000000000014,7
2025-06-06,expiry,15.5,3
2025-06-13,expiry,-165.5,6
2025-06-20,expiry,-61.5,5
2025-06-27,expiry,259.0,9
2025-06-30,expiry,-11.5,1
2025-07-03,expiry,49.5,3
2025-07-11,expiry,83.0,3
2025-07-18,expiry,71.5,3
2025-07-25,expiry,115.0,4
2025-07-31,expiry,58.5,3
2025-08-01,expiry,12.5,1
2025-08-08,expiry,28.0,2
2025-08-13,expiry,11.5,1
2025-08-15,expiry,333.0,8
2025-08-22,expiry,35.0,2
2025-08-29,expiry,193.0,6
2025-09-05,expiry,45.5,3
2025-09-12,expiry,182.5,7
2025-09-19,expiry,122.5,4
2025-09-26,expiry,122.0,6
2025-09-30,expiry,10.500000000000002,1
2025-10-03,expiry,46.5,3
2025-10-10,expiry,87.0,4
2025-10-17,expiry,89.0,4
2025-10-24,expiry,112.0,4
2025-10-31,expiry,234.5,8
2025-11-07,expiry,100.0,4
2025-11-14,expiry,97.0,5
2025-11-21,expiry,149.0,6
