date,event,pnl,num_expired
2023-02-03,expiry,161.0,6
2023-02-17,expiry,5.5,3
2023-02-24,expiry,-38.5,3
2023-03-03,expiry,54.0,2
2023-03-10,expiry,15.5,1
2023-03-17,expiry,-229.0,9
2023-03-24,expiry,-29.0,2
2023-03-31,expiry,383.50146484375,7
2023-04-14,expiry,48.5,8
2023-04-21,expiry,-22.5,3
2023-04-28,expiry,166.5,6
2023-05-05,expiry,40.0,2
2023-05-12,expiry,-44.0,2
2023-05-19,expiry,58.0,3
2023-06-02,expiry,-197.5,6
2023-06-09,expiry,11.5,1
2023-06-16,expiry,-77.0,10
2023-06-30,expiry,-293.0,11
2023-07-14,expiry,-34.0,4
2023-07-19,expiry,11.5,1
2023-07-21,expiry,135.0,4
2023-07-28,expiry,154.0,4
2023-08-02,expiry,12.5,1
2023-08-04,expiry,137.0,3
2023-08-11,expiry,101.0,2
2023-08-16,expiry,10.500000000000002,1
2023-08-18,expiry,219.0,8
2023-08-25,expiry,75.0,2
2023-08-30,expiry,14.500000000000002,1
2023-09-01,expiry,138.0,5
2023-09-08,expiry,13.5,1
2023-09-13,expiry,10.500000000000002,1
2023-09-15,expiry,51.0,8
2023-09-22,expiry,39.5,3
2023-09-27,expiry,13.5,1
2023-09-29,expiry,-121.5,5
2023-10-06,expiry,41.5,3
2023-10-13,expiry,184.0,9
2023-10-20,expiry,9.0,3
2023-10-27,expiry,63.5,3
2023-11-03,expiry,58.5,3
2023-11-10,expiry,-515.99853515625,2
2023-11-17,expiry,20.5,3
2023-11-24,expiry,-1121.998779296875,2
2023-12-01,expiry,365.5,7
2023-12-08,expiry,78.5,2
2023-12-15,expiry,-716.997314453125,7
2023-12-22,expiry,33.0,1
2023-12-29,expiry,-48.5,11
2024-01-05,expiry,23.0,2
2024-01-12,expiry,154.5,6
2024-01-26,expiry,-187.5003662109375,8
2024-01-31,expiry,28.500000000000004,1
2024-02-02,expiry,-649.0006103515625,2
2024-02-09,expiry,-440.501220703125,3
2024-02-16,expiry,17.5,1
2024-03-01,expiry,82.0,4
2024-03-08,expiry,79.0,2
2024-03-15,expiry,340.0,8
2024-03-22,expiry,28.0,2
2024-03-29,expiry,902.5,13
2024-04-05,expiry,12.5,1
2024-04-12,expiry,179.0,8
2024-04-19,expiry,22.5,1
2024-04-26,expiry,188.0,7
2024-04-29,expiry,21.000000000000004,1
2024-05-03,expiry,24.5,1
2024-05-10,expiry,-19.5,1
2024-05-17,expiry,17.5,1
2024-05-24,expiry,-3.4999999999999964,2
2024-05-31,expiry,200.5,9
2024-06-14,expiry,284.0029296875,6
2024-06-17,expiry,10.500000000000002,1
2024-06-21,expiry,-116.0,7
2024-06-28,expiry,-110.5,7
2024-07-01,expiry,12.5,1
2024-07-05,expiry,24.0,2
2024-07-19,expiry,68.5,3
2024-08-12,expiry,313.0,11
2024-08-16,expiry,98.5,5
2024-08-26,expiry,211.5,3
2024-08-30,expiry,36.0,3
2024-09-06,expiry,322.5,7
2024-09-09,expiry,30.5,1
2024-09-13,expiry,-39.5,3
2024-09-20,expiry,305.0,8
2024-09-27,expiry,-7.5,5
2024-09-30,expiry,19.5,1
2024-10-04,expiry,73.0,4
2024-10-11,expiry,34.0,1
2024-10-18,expiry,173.5,6
2024-10-25,expiry,110.5,2
2024-10-31,expiry,174.5,1
2024-11-01,expiry,153.5,3
2024-11-08,expiry,21.000000000000004,1
2024-11-15,expiry,99.5,6
2024-11-22,expiry,78.0,3
2024-11-29,expiry,522.0,6
2024-12-06,expiry,10.500000000000002,1
2024-12-13,expiry,433.5,5
2024-12-20,expiry,107.5,4
2024-12-27,expiry,-11.5,3
2024-12-31,expiry,482.5,8
2025-01-03,expiry,-78.0,4
2025-01-10,expiry,27.0,2
2025-01-13,expiry,14.500000000000002,1
2025-01-15,expiry,25.0,1
2025-01-17,expiry,66.0,4
2025-01-24,expiry,25.0,2
2025-01-28,expiry,-13.5,1
2025-01-31,expiry,194.5,9
2025-02-07,expiry,78.5,3
2025-02-14,expiry,141.5,7
2025-02-21,expiry,74.5,4
2025-02-28,expiry,122.5,4
2025-03-07,expiry,14.500000000000002,1
2025-03-14,expiry,52.0,4
2025-03-21,expiry,207.5,6
2025-03-28,expiry,-168.0,4
2025-03-31,expiry,63.0,2
2025-04-04,expiry,46.5,3
2025-04-11,expiry,-2.5,4
2025-04-17,expiry,-53.002685546875,8
2025-04-25,expiry,76.0,2
2025-04-30,expiry,-101.5,2
2025-05-02,expiry,-2990.001953125,4
2025-05-09,expiry,-69.0,1
2025-05-16,expiry,-1538.001220703125,7
2025-05-23,expiry,-68.0,2
2025-05-30,expiry,604.0,8
2025-06-06,expiry,11.5,1
2025-06-13,expiry,103.5,4
2025-06-16,expiry,22.5,1
2025-06-20,expiry,1131.0,5
2025-06-27,expiry,41.5,2
2025-06-30,expiry,-13.999999999999988,5
2025-07-03,expiry,841.502685546875,7
2025-07-11,expiry,28.000000000000004,1
2025-07-18,expiry,77.0,4
2025-07-25,expiry,33.0,1
2025-07-31,expiry,295.0,6
2025-08-01,expiry,79.5,2
2025-08-08,expiry,32.5,1
2025-08-13,expiry,47.5,3
2025-08-15,expiry,239.5,5
2025-08-29,expiry,150.0,4
2025-09-12,expiry,155.5,5
2025-09-19,expiry,75.5,3
2025-09-26,expiry,68.0,4
2025-09-30,expiry,234.5,5
2025-10-03,expiry,15.5,1
2025-10-10,expiry,15.5,1
2025-10-13,expiry,11.5,1
2025-10-17,expiry,340.0,6
2025-10-24,expiry,4.999999999999998,2
2025-10-31,expiry,30.499999999999993,5
2025-11-07,expiry,10.500000000000002,1
2025-11-14,expiry,148.5,3
2025-11-21,expiry,58.0,3
