symbol,quantity,price,trade_type,timestamp,strike,expiry,option_type,implied_vol,delta,mispricing_pct
SPY,-2.0,1.4049999999999998,option,2020-02-19,322.0,2020-03-20,put,0.13516609178584893,-0.09025623490018031,1.5192761908821888
SPY,-18.051246980036062,338.3399963378906,stock,2020-02-19,,,,,,
SPY,-2.0,1.4049999999999998,option,2020-02-19,322.0,2020-03-20,put,0.13516609178584893,-0.09025623490018031,1.5192761908821888
SPY,-18.051246980036062,338.3399963378906,stock,2020-02-19,,,,,,
SPY,-2.0,1.505,option,2020-02-19,323.0,2020-03-20,put,0.13516609178584893,-0.10398616003541616,1.2756385150329124
SPY,-20.79723200708323,338.3399963378906,stock,2020-02-19,,,,,,
SPY,-2.0,1.505,option,2020-02-19,323.0,2020-03-20,put,0.13516609178584893,-0.10398616003541616,1.2756385150329124
SPY,-20.79723200708323,338.3399963378906,stock,2020-02-19,,,,,,
SPY,-2.0,1.61,option,2020-02-19,324.0,2020-03-20,put,0.13516609178584893,-0.1191214981249229,1.0637860956971141
SPY,-23.82429962498458,338.3399963378906,stock,2020-02-19,,,,,,
SPY,-2.0,1.61,option,2020-02-19,324.0,2020-03-20,put,0.13516609178584893,-0.1191214981249229,1.0637860956971141
SPY,-23.82429962498458,338.3399963378906,stock,2020-02-19,,,,,,
SPY,-2.0,1.73,option,2020-02-19,325.0,2020-03-20,put,0.13516609178584893,-0.13569551803823565,0.889802070281846
SPY,-27.13910360764713,338.3399963378906,stock,2020-02-19,,,,,,
SPY,-2.0,1.73,option,2020-02-19,325.0,2020-03-20,put,0.13516609178584893,-0.13569551803823565,0.889802070281846
SPY,-27.13910360764713,338.3399963378906,stock,2020-02-19,,,,,,
SPY,2.0,0.125,option,2020-02-19,355.0,2020-03-20,call,0.13516609178584893,0.11927867603065362,-0.8346269210710078
SPY,-23.855735206130724,338.3399963378906,stock,2020-02-19,,,,,,
SPY,2.0,0.125,option,2020-02-19,355.0,2020-03-20,call,0.13516609178584893,0.11927867603065362,-0.8346269210710078
SPY,-23.855735206130724,338.3399963378906,stock,2020-02-19,,,,,,
SPY,2.0,0.165,option,2020-02-19,354.0,2020-03-20,call,0.13516609178584893,0.13440540917599963,-0.8113273135786229
