symbol,quantity,price,trade_type,timestamp,strike,expiry,option_type,implied_vol
SPY,1.0,0.10500000000000001,option,2024-01-05,472.0,2024-01-08,call,0.18928224786585515
SPY,-31.286194228878873,467.9200134277344,stock,2024-01-05,,,,
SPY,1.0,0.10500000000000001,option,2024-01-05,474.0,2024-01-09,call,0.18610023526486946
SPY,-26.054248191279573,467.9200134277344,stock,2024-01-05,,,,
SPY,1.0,0.10500000000000001,option,2024-01-05,486.0,2024-01-19,call,0.18070259369469582
SPY,-15.106715363588247,467.9200134277344,stock,2024-01-05,,,,
SPY,1.0,0.10500000000000001,option,2024-01-05,454.0,2024-01-11,put,0.1947247761495767
SPY,10.835951513407394,467.9200134277344,stock,2024-01-05,,,,
SPY,-2.361371259762006,467.9200134277344,stock,2024-01-05,,,,
SPY,-15.906572637148725,474.6000061035156,stock,2024-01-08,,,,
SPY,58.28813062976538,473.8800048828125,stock,2024-01-09,,,,
SPY,1.0,0.10500000000000001,option,2024-01-09,488.0,2024-01-19,call,0.18329679927666484
SPY,-17.501606865177834,473.8800048828125,stock,2024-01-09,,,,
SPY,1.0,0.135,option,2024-01-09,497.0,2024-01-31,call,0.18190032045964283
SPY,-15.449068713567737,473.8800048828125,stock,2024-01-09,,,,
SPY,1.0,0.125,option,2024-01-09,490.0,2024-01-23,call,0.17515962005263255
SPY,-17.473654233654422,473.8800048828125,stock,2024-01-09,,,,
SPY,1.0,0.125,option,2024-01-09,459.0,2024-01-16,put,0.18157492865556193
SPY,9.738365485419454,473.8800048828125,stock,2024-01-09,,,,
SPY,-3.1847218691323373,473.8800048828125,stock,2024-01-09,,,,
SPY,-19.572104143163347,476.55999755859375,stock,2024-01-10,,,,
SPY,5.304457164007228,476.3500061035156,stock,2024-01-11,,,,
SPY,1.245804401739484,476.67999267578125,stock,2024-01-12,,,,
SPY,41.251896892427574,474.92999267578125,stock,2024-01-16,,,,
SPY,1.0,0.11499999999999999,option,2024-01-16,486.0,2024-01-23,call,0.17740712826200497
SPY,-18.142439165979624,474.92999267578125,stock,2024-01-16,,,,
SPY,1.0,0.11499999999999999,option,2024-01-16,496.0,2024-01-31,call,0.18252478835476846
SPY,-12.872534999511027,474.92999267578125,stock,2024-01-16,,,,
SPY,1.0,0.135,option,2024-01-16,498.0,2024-02-02,call,0.18578943872742193
SPY,-12.720501601999374,474.92999267578125,stock,2024-01-16,,,,
SPY,-2.2211222896775347,474.92999267578125,stock,2024-01-16,,,,
SPY,35.24584718812179,472.2900085449219,stock,2024-01-17,,,,
SPY,1.0,0.11499999999999999,option,2024-01-17,495.0,2024-02-02,call,0.18597308710565
SPY,-12.217563895656175,472.2900085449219,stock,2024-01-17,,,,
SPY,1.0,0.10500000000000001,option,2024-01-17,490.0,2024-01-30,call,0.16898482740688442
SPY,-13.22073063571994,472.2900085449219,stock,2024-01-17,,,,
SPY,-1.5326308767709111,472.2900085449219,stock,2024-01-17,,,,
SPY,-32.468191010797426,476.489990234375,stock,2024-01-18,,,,
SPY,-71.57944381966243,482.42999267578125,stock,2024-01-19,,,,
SPY,27.52458767542194,483.45001220703125,stock,2024-01-22,,,,
SPY,27.755737756050216,484.8599853515625,stock,2024-01-23,,,,
SPY,1.235243175334304,485.3900146484375,stock,2024-01-24,,,,
SPY,-27.551347572317994,488.0299987792969,stock,2024-01-25,,,,
SPY,18.228122715001717,487.4100036621094,stock,2024-01-26,,,,
SPY,-37.31962828761406,491.2699890136719,stock,2024-01-29,,,,
SPY,91.82823354460186,490.8900146484375,stock,2024-01-30,,,,
SPY,72.10994806855564,482.8800048828125,stock,2024-01-31,,,,
SPY,1.0,0.10500000000000001,option,2024-01-31,498.0,2024-02-07,call,0.2119865010007
SPY,-15.327261614582094,482.8800048828125,stock,2024-01-31,,,,
SPY,1.0,0.11499999999999999,option,2024-01-31,501.0,2024-02-09,call,0.21542087306851798
SPY,-14.513731799216506,482.8800048828125,stock,2024-01-31,,,,
SPY,1.0,0.125,option,2024-01-31,499.0,2024-02-08,call,0.21122458949181397
SPY,-15.375733084132165,482.8800048828125,stock,2024-01-31,,,,
SPY,1.0,0.175,option,2024-01-31,506.0,2024-02-16,call,0.20661465288643158
SPY,-14.934757877197896,482.8800048828125,stock,2024-01-31,,,,
SPY,1.0,0.10500000000000001,option,2024-01-31,463.0,2024-02-06,put,0.17993539818753038
SPY,3.229231534084831,482.8800048828125,stock,2024-01-31,,,,
SPY,-2.4945201998279214,482.8800048828125,stock,2024-01-31,,,,
SPY,-51.19432589312766,489.20001220703125,stock,2024-02-01,,,,
SPY,-27.447519956908927,494.3500061035156,stock,2024-02-02,,,,
SPY,44.177070413456725,492.54998779296875,stock,2024-02-05,,,,
SPY,-1.9983716092167683,493.9800109863281,stock,2024-02-06,,,,
SPY,-13.368995903396254,498.1000061035156,stock,2024-02-07,,,,
SPY,49.29622780747346,498.32000732421875,stock,2024-02-08,,,,
SPY,26.275372271601235,501.20001220703125,stock,2024-02-09,,,,
SPY,1.0,0.135,option,2024-02-09,491.0,2024-02-13,put,0.185815884751595
SPY,14.05153828328829,501.20001220703125,stock,2024-02-09,,,,
SPY,-0.4008269080344675,501.20001220703125,stock,2024-02-09,,,,
SPY,-6.576092507422318,500.9800109863281,stock,2024-02-12,,,,
SPY,1.0,0.10500000000000001,option,2024-02-12,526.0,2024-03-01,call,0.19898188374663725
SPY,-14.491618644607351,500.9800109863281,stock,2024-02-12,,,,
SPY,1.0,0.195,option,2024-02-12,483.0,2024-02-20,put,0.17157938159319086
SPY,7.094118955574402,500.9800109863281,stock,2024-02-12,,,,
SPY,-1.206610123658483,500.9800109863281,stock,2024-02-12,,,,
SPY,36.88633884227028,494.0799865722656,stock,2024-02-13,,,,
SPY,1.0,0.125,option,2024-02-13,518.0,2024-03-01,call,0.20321855298917318
SPY,-15.037527625872588,494.0799865722656,stock,2024-02-13,,,,
SPY,1.0,0.10500000000000001,option,2024-02-13,511.0,2024-02-22,call,0.20611237617323777
SPY,-15.649670412261713,494.0799865722656,stock,2024-02-13,,,,
SPY,1.0,0.11499999999999999,option,2024-02-13,512.0,2024-02-23,call,0.205730931755922
SPY,-15.550238434487168,494.0799865722656,stock,2024-02-13,,,,
SPY,-2.0434212314854427,494.0799865722656,stock,2024-02-13,,,,
SPY,-35.32740860579818,498.57000732421875,stock,2024-02-14,,,,
SPY,-28.694332570553446,502.010009765625,stock,2024-02-15,,,,
