date,event,pnl,num_expired
2023-03-17,expiry,-59.5,1
2023-03-20,expiry,-139.0,1
2023-03-31,expiry,-100.99853515625,3
2023-04-17,expiry,62.5,1
2023-04-28,expiry,-87.0,2
2023-05-01,expiry,20.5,1
2023-05-12,expiry,-17.5,1
2023-05-15,expiry,26.5,1
2023-05-26,expiry,-146.0,2
2023-06-02,expiry,-331.5,1
2023-06-09,expiry,-63.9993896484375,3
2023-06-16,expiry,23.5,1
2023-06-23,expiry,-70.5,1
2023-06-30,expiry,-34.5,1
2023-07-07,expiry,-32.5,1
2023-07-21,expiry,-75.499267578125,1
2023-07-28,expiry,819.5013427734375,2
2023-08-04,expiry,73.5,1
2023-08-11,expiry,87.5,1
2023-08-18,expiry,66.5,1
2023-08-25,expiry,61.5,1
2023-09-01,expiry,116.5,2
2023-09-08,expiry,52.5,1
2023-09-15,expiry,54.50000000000001,1
2023-09-22,expiry,54.50000000000001,1
2023-09-29,expiry,35.5,1
2023-10-06,expiry,-22.0,2
2023-10-13,expiry,-33.0,2
2023-10-20,expiry,32.5,1
2023-10-23,expiry,26.5,1
2023-10-27,expiry,23.5,1
2023-11-03,expiry,68.5,1
2023-11-06,expiry,-36.5,1
2023-11-10,expiry,-1156.99853515625,2
2023-11-17,expiry,-60.5,1
2023-11-24,expiry,-155.0,2
2023-12-01,expiry,-493.0006103515625,2
2023-12-08,expiry,65.0,1
2023-12-15,expiry,16.5,1
2023-12-22,expiry,426.4993896484375,2
2023-12-29,expiry,49.5,1
2024-01-05,expiry,-94.0,1
2024-01-12,expiry,-45.5,1
2024-01-19,expiry,-64.5,1
2024-01-26,expiry,47.0,1
2024-02-02,expiry,-713.0006103515625,2
2024-02-09,expiry,-511.001220703125,2
2024-02-16,expiry,17.5,1
2024-02-23,expiry,85.5,1
2024-03-01,expiry,-131.99755859375,2
2024-03-08,expiry,60.5,1
2024-03-15,expiry,-27.500000000000004,1
2024-03-22,expiry,35.0,2
2024-03-29,expiry,-26.0,1
2024-04-05,expiry,72.5,1
2024-04-12,expiry,-101.0,1
2024-04-19,expiry,113.5,2
2024-04-26,expiry,60.0,1
2024-04-29,expiry,85.0,1
2024-05-03,expiry,67.0,1
2024-05-06,expiry,-95.5,1
2024-05-10,expiry,-19.5,1
2024-05-17,expiry,-47.5,1
2024-05-24,expiry,97.5,1
2024-05-31,expiry,24.0,2
2024-06-07,expiry,-75.0,1
2024-06-14,expiry,-52.5,1
2024-06-21,expiry,-23.0,2
2024-06-28,expiry,-71.0,2
2024-07-05,expiry,-94.0,1
2024-07-12,expiry,-140.5,2
2024-07-19,expiry,-80.5,1
2024-07-26,expiry,74.0,1
2024-08-12,expiry,167.0,3
2024-08-26,expiry,179.0,1
2024-08-28,expiry,-82.5,1
2024-09-09,expiry,30.5,1
2024-09-11,expiry,-28.500000000000004,1
2024-09-13,expiry,-246.0,1
2024-09-20,expiry,426.99999999999994,1
2024-09-25,expiry,-53.50219726562499,1
2024-10-04,expiry,358.498046875,2
2024-10-09,expiry,-21.5,1
2024-10-11,expiry,-75.0,1
2024-10-18,expiry,16.5,1
2024-11-01,expiry,239.5,2
2024-11-08,expiry,394.0,2
2024-11-22,expiry,26.5,1
2024-12-06,expiry,-12.0,2
2024-12-31,expiry,1331.0,2
